완료,제목,파일명,날짜,시작시간,방송길이,주제,part,상세내용,메모,URL,손님,영도,주식,이미지파일명,카테고리,고유 라이브 ID,금일 방송 횟수,타임라인CSV,소스CSV
True,당신도 주제를 제안할수있다! 치즈스케치!,20260517-2_게임,20260517,18:21:36,02:10:20,게임,2,게임: 갈틱쇼,,https://chzzk.naver.com/video/13257784,,,,,그림/아트,18946690,2,20260517-2-타임라인.csv,
True,"점심 배그, 저녁 치지직스케치",20260517-1_게임,20260517,12:44:35,04:26:50,게임,1,게임: 배틀그라운드,,https://chzzk.naver.com/video/13255086,,,O,,PUBG: 배틀그라운드,18941069,,20260517-1-타임라인.csv,20260517-1_게임-소스.csv
True,치지직에도 갈틱쇼가 있다?,20260516_게임,20260516,19:01:13,05:05:07,게임,,게임: 갈틱쇼,,https://chzzk.naver.com/video/13244633,,,,,그림/아트,18928739,,20260516-타임라인.csv,
True,만화가 세명 잡담타임 / 만화가 네명 잡담타임,20260513_레방_한라감귤_박지_단투,20260513,18:53:01,01:46:16,레방,,,,https://chzzk.naver.com/video/13191261,"한라감귤, 박지, 단투",,,,talk,18872990,,20260513-타임라인.csv,
False,2부 그림방송 ,20260509-2_그림,20260509,22:00:52,03:45:48,그림,2,,,https://chzzk.naver.com/video/13135605,,,,,그림/아트,18809418,2,,
False,1부 배그  2부 그림/1부 배그 (w. 단투),20260509-1_게임_단투,20260509,15:18:58,03:51:34,게임,1,게임: 배틀그라운드,,https://chzzk.naver.com/video/13127966,단투,,,,PUBG: 배틀그라운드,18800457,,20260509-1_게임_단투-타임라인.csv,
False,밤낮이 뒤바뀐 남자,20260508_게임,20260508,21:28:47,06:39:08,게임,,게임: 배틀그라운드,,https://chzzk.naver.com/video/13121395,,,,,PUBG: 배틀그라운드,18789669,,20260508_게임-타임라인.csv,
False,성장형 배린이,20260505_게임,20260505,19:48:55,05:29:13,게임,,게임: 배틀그라운드,,https://chzzk.naver.com/video/13071861,,,,,PUBG: 배틀그라운드,18733460,,20260505_게임-타임라인.csv,
False,2부 그림방송/뜬금 배그합방,20260503-4_그림_게임,20260503,21:11:36,04:27:18,"그림, 게임",4,게임: 배틀그라운드,,https://chzzk.naver.com/video/13038933,,,,,PUBG: 배틀그라운드,18700347,4,20260503-4_그림_게임-타임라인.csv,
False,밤낮되돌리기 성공! 1부 배그,20260503-3_게임,20260503,14:46:37,04:17:04,게임,3,게임: 배틀그라운드,,https://chzzk.naver.com/video/13031157,,,,,PUBG: 배틀그라운드,18692067,3,20260503-3_게임-타임라인.csv,
False,밤낮되돌리기 성공! 1부 배그,20260503-2_게임,20260503,12:50:55,01:50:12,게임,2,게임: 배틀그라운드,,https://chzzk.naver.com/video/13028104,,,,,PUBG: 배틀그라운드,18690153,3,20260503-2_게임-타임라인.csv,
False,밤낮되돌리기 성공! 1부 배그,20260503-1_게임,20260503,10:51:15,01:54:11,게임,1,게임: 배틀그라운드,,https://chzzk.naver.com/video/13027339,,,,,PUBG: 배틀그라운드,18688936,3,20260503-1_게임-타임라인.csv,
False,낙서와 영도의시간입니다.,20260502_그림,20260502,20:14:21,04:11:40,그림,,,,https://chzzk.naver.com/video/13020172,,O,,,그림/아트,18680109,,20260502_그림-타임라인.csv,
False,순정배린이,20260501_게임,20260501,20:57:06,08:06:04,게임,,게임: 배틀그라운드,,https://chzzk.naver.com/video/13008643,,,,,PUBG: 배틀그라운드,18662716,,20260501_게임-타임라인.csv,20260501_게임-소스.csv
False,순정배린이,20260426-2,20260426,23:50:35,04:29:15,,2,,,https://chzzk.naver.com/video/12927916,,,,,PUBG: 배틀그라운드,18577489,2,,
False,그림그리는 30세. 그리고 5살을 곁들인.,20260426-1,20260426,20:13:04,03:31:07,,1,,,https://chzzk.naver.com/video/12922777,,,,,그림/아트,18572837,2,,
False,2부 배린이구경하기,20260425-2,20260425,23:21:32,05:31:39,,2,,,https://chzzk.naver.com/video/12911669,,,,,PUBG: 배틀그라운드,18559353,2,,
False,그림그리는시간입니다.,20260425-1,20260425,19:16:45,03:58:31,,1,,,삭제됨,,,,,그림/아트,18553062,,,
False,합방까지 실력늘리기,20260424,20260424,20:17:41,03:39:38,,,,,https://chzzk.naver.com/video/12888852,,,,,PUBG: 배틀그라운드,18536258,,,
False,성장형 배린이,20260423,20260423,21:15:30,03:49:34,,,,,https://chzzk.naver.com/video/12875486,,,,,PUBG: 배틀그라운드,18520871,,,
False,치킨못먹는 불쌍한사람 구경하기,20260419-2,20260419,22:57:21,01:49:15,,2,,,https://chzzk.naver.com/video/12814757,,,,,PUBG: 배틀그라운드,18454869,2,,
False,그림방송의 시간입니다.,20260419-1_그림,20260419,19:50:07,03:01:35,그림,1,,,https://chzzk.naver.com/video/12811705,,,,,그림/아트,18449957,2,,
