시작 시간,종료 시간,내용
00:00:10.07,00:00:14.58,デンガカレにあわなきょう
00:00:51.04,00:01:09.67,다음 영상에서 만나요.
00:02:42.94,00:03:09.53,아아아
00:03:14.71,00:03:44.38,아이고 반갑습니다 오늘은 예정한 대로 그림 피드백에 시간이 있고요 예전에도 신청했던 분들이 은근히 또 신청할 분들이 많아서 많은 발전이 있을 거라 기대가 되는 부분입니다 왜 이리 못생겼냐고 저 새끼 밴 해주세요
00:03:44.78,00:04:08.01,갑자기 왜 인신공격 하지?
00:04:08.03,00:04:08.23,아이고 아이고 어휴
00:04:17.30,00:04:25.17,"자, 그러면 거두절미하고 자다 온 얼굴이라고?"
00:04:25.45,00:04:37.39,정확해요 한 두 시간 정도 잤어요 도레도레 어떤 글들이 있을까요?
00:04:37.41,00:04:42.82,제가 공지를 열기도 했으니까 귀 뒤로 올라온 글들을 한번 보도록 하겠습니다
00:04:45.13,00:05:05.50,뭐 씨발 밥도 먹여달라고 하지 왜?
00:05:05.52,00:05:06.14,뭐야 이거
00:05:08.67,00:05:13.72,뭐 씻겨주세요 뭐 밥 먹여주세요 머리 감겨주세요는 왜 없냐?
00:05:14.78,00:05:21.09,이럴 거면?
00:05:21.11,00:05:33.68,그래도 대칭을 잡으면서 그리는 그 자세는 너무 좋아요 야 이 자식아 이럴 거면 밑그림을 왜 했냐?
00:05:33.70,00:05:34.42,잠깐만
00:05:42.76,00:06:02.81,아 그래도 나름 배운대로 그래도 그 하려는 그 의지가 느껴져서 씨발 가엾고 좋네요 어이 아 그 거참 어 다시 한번 보자
00:06:09.87,00:06:19.52,아니 씨 좀 야 배는 그래도 갈비 배 허리 골반 이렇게 좀 와야 되지 않겠니?
00:06:20.89,00:06:37.60,바로 이럴 거면 이렇게 구분지음 의미가 없잖아 미치겠네
00:06:50.97,00:07:04.54,허허 일단 과거에 그렸던 거 아 이거 그린 친구구나 이거 왜 또 보여주는 거니?
00:07:14.34,00:07:33.81,어 그래도 약간 약간 조금 조금씩 발전하는 것 같기도 하고 어 이거 아 씨발 이건 또 왜 골반이 왜 이렇게 극단적이야?
00:07:35.19,00:07:40.78,어디 나라 말이야?
00:07:40.80,00:07:40.96,아 아라양인가?
00:07:40.98,00:07:42.54,어 이새끼 너무 바라는 게 많아 일단
00:07:48.29,00:08:16.88,일단은 청이를 그리신 것 같은데 이 새끼를 한번 데리고 와서 그래도 그 눈 간격이나 그런 건 공부하려고 나름 애를 쓰는 흔적이 보인 그게 있어서 한번 봅시다 그러게 결과물이 타임랩스랑 다르네요
00:08:20.72,00:08:35.29,이렇게 있다 칩시다 청이 맞나?
00:08:35.31,00:08:39.91,청이 맞는 것 같기도 하고 눈동자를 당신이 그린 것처럼 한번 해 볼게요
00:09:03.33,00:09:23.86,왜 보통은 위를 이렇게 까맣게 하고 아래를 하얗게 하는데 뭐 이것도 뭐 정답은 없지만 뭐 일단 당신이 한 대로 한 번 해봅시다 이런 눈을 뭐 좋아한다면 내가 할 말이 없는데 속눈썹 그려주고
00:09:37.86,00:09:45.40,어?
00:09:45.46,00:09:46.48,그림을 고쳐달라고?
00:09:46.50,00:09:55.18,아니 그리는 처음부터 뭐가 잘못된건지부터 알려줘야지 이 그림을 고치는건 그냥 다시 그리는게 빨라요 어?
00:10:01.92,00:10:23.47,머리카락 잘 그리는 법을 얘기하셨는데 보통 머리카락 결에 따라서 정수리에서 머리카락이 쏟아진다는 느낌으로 한 지점에서 이렇게 쭉쭉 뻗어가는 게 좋아요.
00:10:23.49,00:10:23.91,못 말할?
00:10:30.70,00:10:56.38,레바형 레바형 이번 피드백에 대한 질문이 있는데 그게 뭐냐면 섹스 크림 방해하지 말아주세요 그리고 뚜껑 닫아주고 뭐 이것까지는 그렇다고 칩시다 당신도 나름 이런 식으로 그리고 있으니까 귀 그리고 그리고
00:11:01.04,00:11:24.65,장을 할거면 이렇게 막 이지랄하면서 그리던데 이것도 뭐 방법중에 하나겠지만 일단 당신의 팔 모양이 문제가 아니고 예를 들어서 이렇게 좀 삼각형을 한번 그려보세요 그리고 여기로 삼각형 그러면 대초 기본적인 몸매 실루엣이 나온단 말이에요
