시작 시간,종료 시간,내용
00:00:59.76,00:01:28.03,다음 영상에서 만나요
00:02:06.89,00:02:21.69,다음 영상에서 만나요.
00:03:06.73,00:03:31.32,다음 영상에서 만나요!
00:03:33.38,00:03:40.45,감사합니다.
00:04:04.83,00:04:18.11,할로우 잘 지냈나요?
00:04:18.41,00:04:31.80,이번주는 왜 이렇게 자주 보는 것 같지?
00:04:31.82,00:04:32.87,기분 탓인가?
00:04:33.11,00:04:33.18,아리가또
00:04:37.01,00:04:40.42,빨리 투표 열어?
00:04:40.74,00:04:50.27,맡겨놨어?
00:04:50.29,00:05:04.15,작법서 샀으면 됐지 그걸로 잘했습니다 뒷머리가 삐쭉 튀어나왔네 아이고 오늘은 일어나서 인생을 낭비해버렸어요 응
00:05:06.68,00:05:31.99,좀 씻어 씻은거야 던파 결투장 해버렸어요 헬 돌리는건 인생 안아까운데 결투장 한건 인생이 아까워 고마워요
00:05:34.22,00:05:56.45,레바야 나도 고해성사 할 거 있다.
00:05:56.47,00:05:56.77,이번 달 치즈로만 50썼다.
00:05:56.79,00:05:57.63,어차피 난 여친 없으니까 연애하는 애들이랑 또이 또이 아니냐.
00:05:57.65,00:05:57.73,맞아요.
00:05:57.75,00:05:57.93,플랜은 못 갔죠?
00:05:57.95,00:05:57.99,네.
00:05:58.11,00:06:02.45,아이고 오늘도 손프리로 이거 저거 그리다가 투표를 받아볼까 합니다잉.
00:06:05.50,00:06:33.12,남주는 평범한 게 최고인가 역시 음 잠깐 하고 끌 줄 알았어 음 따라라라라
00:06:42.16,00:06:45.38,남캐 제발 더 줘?
00:06:45.66,00:07:09.02,남자가 좋은 님 니까 모지네요
00:07:09.26,00:07:30.97,그림 정리 좀 해야겠다 싸이비 친구 많이 그려달라고?
00:07:31.31,00:07:32.03,얘가 인기가 좋긴 하네
00:07:35.77,00:07:41.10,햄이 채색하지 않았냐고?
00:07:41.58,00:08:01.74,채색 버전도 있어 왼쪽 비치 갸루가 좋다고?
00:08:04.74,00:08:12.57,이거는 한국에 자연갈색물이 없지 않냐고?
00:08:13.06,00:08:32.51,그런거 지적하면 실화에요 지적할 수 있는 한국 웹툰이 얼마나 많은데 만화에 별거 다 따지고 있어 와 레바야 나 연금복권 5만원 당첨됐다 상단이 맞췄네
00:08:33.04,00:08:57.94,글쎄요 핑크머리는 모르겠는데?
00:08:57.98,00:08:58.05,어디보자
00:09:02.03,00:09:31.16,이 새끼 잡았다 안경 써라 안경 써라 안경 써라 이 새끼 머리 안 머리 좀 길어지면 머리 약간 씨발 머리 자르라고 지랄하는 새낀데
00:09:33.15,00:09:36.36,응?
00:09:36.38,00:10:02.25,오케이 이렇게나 에이걸 복권하니까 안경 써줄게 한 번 보자 이번엔 역태를 그려볼까
00:10:07.26,00:10:29.13,왜 이렇게 펜이 부드럽지 않지?
00:10:38.49,00:11:04.38,그러면 안 걸릴만한 채팅을 치면 되잖아
00:11:06.27,00:11:27.52,인인이 그릴 때 보고 다시 보는데 그림 실력이 많이 늦었군요.
00:11:27.54,00:11:27.74,너무 오래 전왔냐?
00:11:27.76,00:11:27.88,투 애니원.
00:11:27.90,00:11:28.12,"아, 구독 고마워요."
00:11:28.14,00:11:28.24,흐흐흐흐.
00:11:38.18,00:12:00.85,얘 혼자 좀 순정만한 눈깔이라서 유독 눈에 띄긴 하네요
00:12:29.19,00:12:58.78,펠트심보다 아니 일반펜 보다 펠트심이 좀 더 힘이 덜 들어가긴 하네요
00:13:10.08,00:13:12.08,티타늄 팬심 쓰면 타블렛 갈린다고?
00:13:12.48,00:13:37.22,그 정도까진 아닐텐데 뭐 액정이 갈리거나 그 정도까진 아닐텐데요 저도 타블렛 그 티타늄 팬심 써봤어요 티타늄 팬심 뭐가 좋냐고?
00:13:37.24,00:13:37.94,일단 내구도가 높음
00:13:51.74,00:13:55.41,내가 내 액정 갈리면 액정 바꾸면 되는 거 아니냐고?
00:13:55.43,00:14:09.18,그렇게 해서 바꾼 적은 없어요 그냥 장비 욕심 때문에 타블렛을 바꾼 적은 많지
00:14:27.01,00:14:29.22,카플렛에 필름 부착하나요?
00:14:29.24,00:14:48.70,일단 저는 구매할 때 붙여준 거 그대로 쓰고 있긴 해요 제가 따로 사서 붙인 건 아니고 필름도 교체해야 되냐고?
00:14:48.72,00:14:50.08,그건 경우에 따라 너무 다른데
00:14:53.79,00:15:06.08,바꾸고 싶으면 바꿔도 되고 찢어지거나 갈리거나 하면 바꿀 수도 있죠 봉이 질감 필름은 아이패드에만 붙여요
00:15:20.25,00:15:22.48,갤럭시 폴드 차기장 나오면 살거냐고?
00:15:22.96,00:15:39.25,폰 바꾼지가 너무 오래 안되는데 적어도 나 2-3년은 쓰고 바꾸거든 아무리 적어도 부셔줄게?
00:15:40.14,00:15:45.92,그럼 바꾸는 비용도 주시나요?
00:15:52.18,00:16:12.86,나 폴드를 딱히 막 써보고 싶다 약간 그런 건 없긴 한데 그건 모르죠
00:16:29.14,00:16:56.16,보내 소리 키워 달라고 그 음악 소리를 작게 해 드릴게요 이 정도 작으면 됐죠 보내 소리가 작긴 하다고 좀 키워 드리긴 할게요 됐습니다
00:17:05.62,00:17:32.35,강동원님 팬이에요
00:17:32.99,00:18:02.92,야~~ 오해를 하셨군요 저는 이승권이랍니다 하지만 왜 오해를 했는지는 어쩌고저쩌고 멘트도 지겹다고?
00:18:04.90,00:18:33.56,애초에 강동원 닮았다는 말 자체가 흔하게 들리는 소리가 아닌데 이 정도는 감당할 만한 거 아니야?
00:18:33.58,00:18:33.72,10년째라고?
00:18:33.74,00:18:33.88,그 정도인가?
00:18:33.90,00:18:34.30,이제부터 강동원이 코리안 2승권이다.
00:18:41.03,00:19:04.83,얘는 완전 절벽으로 할까 살짝 있는 걸로 할까 고민이네 아예 없으면 이 캐릭을 좋아하는 사람들이 너무 C변태 취급을 받겠지?
00:19:14.50,00:19:41.76,저 변태만 내 마나 본다고?
00:19:41.78,00:19:41.86,그런가?
00:19:41.88,00:19:42.36,형은 그런 거에 배덕감 느끼는 거 아니었음?
00:19:42.38,00:19:43.20,무조건 깎아지르는 듯한 도마 같은 절벽으로 해야 해 방지턱도 있으면 안 돼
00:19:44.35,00:19:55.65,저 말 들으니까 가슴 있게 그려야겠다.
00:19:55.67,00:19:56.27,너무 없으면 이상한 애들이 얘 남자지 하면서 좋아해요.
00:19:56.49,00:19:56.63,한방때 발언.
00:19:56.65,00:19:58.21,그거 존나게 맞는 말.
00:19:58.23,00:20:01.60,역시 과거의 나에게서도 배우는 점이 있구나.
00:20:13.20,00:20:40.05,하복은 이런 디자인이면 되겠지 내가 네가 싫어하는 게 보지 말고 또 뭐가 있냐고?
00:20:41.40,00:20:57.60,많죠 저 가지 싫어해요 가지도 싫어하고 X같은 소리하는 사람도 싫고 지도하면서?
00:20:58.12,00:21:07.49,아니 싫어할 수도 있잖아 세상 어딘가에도 나 싫어하는 사람이 있을텐데 나도 좀 싫어하면 안돼?
00:21:27.66,00:21:46.90,네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네네�
00:21:52.19,00:22:21.34,레바가 싫어하는 거 고추 피부색이 어두운 사람 기초대사량이 높은 중년 여성 앞머리 없는 여성 3D 기반 캐릭터 버큐버는 제외하고 싫어하진 않아요 아니 이거 존나... 거가 X되네 레바야 세상 모두가 널 싫어한다고 해도 난 널 사랑한다
00:22:22.28,00:22:49.27,이타치 같은 분이군요 고맙습니다 난 사람들이 다 너 싫어하면 나도 어쩔 수 없이 싫어할 것 같은 미리 미안
00:22:49.69,00:23:18.24,솔직하군요 아주 일리 있어요 남들이 돌을 던질 때 같이 어쩔 수 없이 우물쭈물 같이 돌을 던지는 타입 무조건은 아니지 않나?
00:23:18.25,00:23:18.92,모르겠다
00:23:24.47,00:23:35.57,으음
00:23:48.07,00:24:09.05,아직은 30대 물소 남자 만화가 중에는 네바가 제일 좋으니 희망을 가져줘요.
00:24:09.07,00:24:09.90,그냥 니가 압도적으로 졸라 쎄면 싫어해도 좋아하게 된 안 좋아하면 죽거든.
00:24:14.77,00:24:41.03,오...관대한데...
00:24:51.19,00:25:02.18,"레바도 참 대단한 게 덩궁이, 버육수, 문쏘, 30대 후반 중년, 오타코, 한남, 냄챙 등등 안 좋은 타이틀은 다 가지고도 이렇게 성공했단 거임."
00:25:02.20,00:25:07.13,그 타이틀을 그냥 냅다 사람들이 붙이는 걸 왜 내 업적인 거 마냥 지랄해?
00:25:07.83,00:25:15.14,개자식아.
00:25:15.16,00:25:17.78,그리고 한남은 개자식아 넌 한남 아니야?
00:25:18.73,00:25:47.58,정말 너가 이 바닥 독보적인 원톱이야 너 이길 놈도 없고 너 비슷한 사람도 없어 그러니 손이 덜덜 떨릴 때까지 계속 그림 그려줘 관에 누울 때도 생애 최후의 방송 켜주고 가 레바야 니가 강동원 닮은 거 알고 착한 거 공공연하게 인정하는데 그건 이 입으로 말하거나 시청자 보고 빨아달라고 진심 멋있음 다 떨어져 이건 진심이야 크크 우린 너의 관찰자니까
00:25:51.56,00:26:14.74,레바님 5년 넘게 러브 코미디 콘티만 짜고 연재 안해주고 다른 만화만 그리는 건방진 만화가가 있는데 한마디 해주실 수 있나요?
00:26:14.75,00:26:16.40,콘티를 짠다고 없는데 캐릭터만 그냥 그때그때 낙서 때마다 그린 것 뿐인데 더 심하다고?
00:26:16.42,00:26:16.46,왜?
00:26:16.48,00:26:16.78,그림 너 마음대로 못 그려?
00:26:23.14,00:26:29.97,그런가?
00:26:43.26,00:26:46.14,멀었다고 하기에는 너무 얼마 안 남았나?
00:26:51.96,00:27:07.14,일단 재료는 이거고요.
00:27:07.16,00:27:07.26,5년 뒤.
00:27:07.28,00:27:07.64,이제 레시피를 만들어 보겠습니다.
00:27:07.80,00:27:08.04,그.. 그쵸?
00:27:08.14,00:27:08.42,얼마나 재밌었나 그쵸?
00:27:08.76,00:27:14.05,오히려 씨발 사람들이 여러분이 그렇게 기대할수록 더 늦게 나올 듯?
00:27:14.59,00:27:15.43,부담감 들어가지고?
00:27:18.54,00:27:18.60,씨발?
00:27:18.62,00:27:21.02,이건 그냥 손프리 낙서 같은 거라고요.
00:27:25.84,00:27:43.30,아니 나 하고싶을때 할꺼야
00:27:45.96,00:28:08.17,아니 시발 연재할 때는 빨리 연재 끝나고 쉬어내봐요 이랬으면서 쉬고 있으니까 이 새끼는 만화를 안 그리네 만해 개자식아 언제 이 지랄하고 앉았네
00:28:09.72,00:28:10.92,너무 오래 안 그렸잖아?
00:28:11.24,00:28:11.86,뭘 오래 안 그려!
00:28:12.36,00:28:15.79,나 매년 만화를 안 그린 적이 없다고!
00:28:28.75,00:28:30.57,엄마나 안 쳐준다고?
00:28:30.72,00:28:34.04,그것도 엄연히 만화라고요
00:28:34.53,00:28:40.98,쉬는 것도 하루 이틀 쉬어야지.
00:28:41.00,00:28:41.86,맨날 버튜버 방송만 보면서 자칭 만화가 생활하니까 그러지.
00:28:42.10,00:28:55.18,나 만화가라는 타이틀 생각보다 잘 안 쓰는데?
00:28:55.20,00:28:55.32,내 입으로?
00:28:55.34,00:28:56.72,내가 형 애니 캐릭터 키 비주얼을 5년 전에 개인 엑스에 공개하고 이제 각본자기 시작했다고 생각하면 좀 화날 것 같지 않아?
00:28:56.74,00:29:02.51,글쎄 내가 그 정도로 본격적으로 이렇게 한 적은 없는데.
00:29:05.32,00:29:23.02,눈 밑점을 얘만 있는 걸로 해야겠다 콘티 많이 짰냐고?
00:29:23.54,00:29:30.89,짠지 3일 됐어요 콘티 짜고 있다는 말도 좀 자주 하면 안 되겠다
00:29:38.35,00:29:57.59,그래서 좀 급하게 할 이유 없어서 약간 나 주 3-4일제로 살 거야 음...
00:30:02.70,00:30:04.42,서울로 이사가더니 게을러졌다고?
00:30:04.80,00:30:07.47,씨발 나 정도는 좀 이제 좀 게을러 살면 안돼?
00:30:09.35,00:30:09.41,씨발?
00:30:09.43,00:30:25.12,내가 생각해도 나 20대 넘으면 씨발 빡세게 보냈어 5년이면 나 마흔인데?
00:30:25.14,00:30:25.18,응?
00:30:36.47,00:31:00.75,으 으 으 박스 개인데 숨을 아웃 살 때 그림의 안그래냐고 뭐 소리야 29살 때도 연재 하고 있었는데 으 마흔살이 전 탱거 보면서 흐흐 거리는 거인 좀 그렇네 음
00:31:02.23,00:31:04.00,내가 이제 못 놀리겠다 너무 늙었어?
00:31:04.32,00:31:07.30,라고 하면서 제일 많이 지랄하는 어?
00:31:07.32,00:31:16.55,당신은 너무... 아니다?
00:31:16.57,00:31:29.67,음... 그래 저런 새끼들 즉각 구검해야 되는데 구검해 그럼?
00:31:30.31,00:31:30.37,오케이
00:31:30.62,00:31:46.04,라고 한 당신부터 저기 옆 나라에 타츠키라는 애도 만화가를 하는데 임시 차단 45번 활동 제한이 7번이나 쳐드셨네요?
00:31:46.06,00:31:47.08,그렇게 말하니 진짜 늙었잖아?
00:31:56.23,00:31:58.51,진정해 강동원 이야 임시 제한을 대체 얼마나 처먹은 거야?
00:32:03.96,00:32:07.17,그냥 상습범위네 억울합니다?
00:32:07.31,00:32:12.81,뭐가 억울해 던파만한 던파로 앉혀?
00:32:13.27,00:32:16.75,건방지네 넌.. 응?
00:32:24.64,00:32:27.11,임시 제한에 먹여야겠어 졸렬하게 죽일 명분을 찾는다고?
00:32:27.13,00:32:28.79,넌 얼마나 깨끗한지 볼까?
00:32:38.30,00:33:02.48,부검 그만하고 투표나 받자?
00:33:02.50,00:33:02.64,화면 너무 커
00:33:03.41,00:33:16.59,이사로 이사가더니 게을러졌네 와 개늙었네 레바 이제 못 늘리겠다 너무 늙었어?
00:33:16.61,00:33:18.22,부검 그만하고 투표 나갔죠?
00:33:18.24,00:33:28.07,이새끼 활동 제한을 붙여야겠다 왜 지가 먼저 말 꺼낼 걸 씨발
00:33:31.39,00:33:52.84,어디 보자 뭐야 활동 제한 창 없어졌어 아 밴드 됐네요 역시 매니저님 빠릅니다 근데 만말 아니냐고?
00:33:52.86,00:33:57.80,혹시 농농농농님 당신도 깨끗한 채팅을 치셨나요?
00:34:00.47,00:34:20.28,오늘 활동 제한 걸리신 분들은 그림 신청 당첨돼도 아무 말 못 하신다는 거임 유가미네요크!
00:34:20.30,00:34:22.29,레바 성실하게 연재할 때는 만화 연재하는데 불필요한 거 다 치워버렸는데 던파하고 사이퍼즈하고 버튜버 보고 주식까지 손대니까 나와 비슷하거나 그 이상의 진짜가 되어버렸다고 생각해!
00:34:23.30,00:34:24.56,아니 뭐 그렇게 살면 안 돼?
00:34:24.62,00:34:27.18,생각... 어이없네?
00:34:27.60,00:34:29.01,뭐 내가 지금 뭐... 뭐... 일탈을 했어!
00:34:29.23,00:34:30.25,범죄를 저질렀어!
00:34:30.69,00:34:47.73,할 수 있는 짓 아니야?
00:34:47.75,00:34:48.51,내 바방에서 살아남기 부검창 한 번이라도 나오면 알아서 처신 잘하기.
00:34:51.75,00:35:13.51,하여튼간 슬슬 그림쪽다리 받도록 하겠습니다.
00:35:23.76,00:35:38.18,150명 정도에서 커트합시다.
00:35:39.12,00:35:44.49,형님 혹시 그림 그릴 때 외곽선이랑 눈이나 코등 안쪽을 그릴 때 힘을 얼마나 차이두고 하시나요?
00:35:44.51,00:35:44.85,그걸 말로 설명할 수가 있나요?
00:35:44.87,00:35:44.95,글쎄요.
00:35:44.97,00:35:45.03,추천!
00:35:47.51,00:36:12.95,천하통일 레전드 4538-1705-1390-67197님 축하해요.
00:36:12.97,00:36:13.09,난가?
00:36:13.11,00:36:13.71,맞아요.
00:36:13.73,00:36:13.85,누구 레나?
00:36:17.83,00:36:44.56,뮤그 레나 우와 틀니 냄새 다음 스완의 공성전차님 와
00:36:52.96,00:37:15.02,사복 와카모 사복 와카모 화려하네요 만신레바님
00:37:22.34,00:37:50.59,마파신부 코토미네 키레이 남캐 안그려 다른거 추천해 아르토리아 랜서 어 존나 내가 그리기 싫게 생겼네 다른거 추천해주시면 안돼요 페이트 말고
00:38:03.70,00:38:05.71,그냥 창든 세이브 아님?
00:38:05.73,00:38:30.96,너와 넘어 사랑이 된다 아사카마니 아사카마리 얘도 길쭉하네 생각보다 까다롭네 따스한설이님 이렇게 받으면 또 까다롭다고 하고 곧이곧대로 받으면 이런 것 좀 쳐내라고 지랄하고
00:38:32.17,00:38:38.70,쳐내는 건 당신을 쳐내는 게 제일 빨라.
00:38:39.12,00:38:48.17,따스한 소리님 아무튼 고마워요.
00:38:48.19,00:38:48.53,님 편해져요.
00:39:00.04,00:39:00.88,말을 똑바로 해요.
00:39:00.90,00:39:00.96,화춘님
00:39:01.75,00:39:29.18,주술회전 우로타카코
00:39:30.12,00:39:47.16,으로 타카코 뭐야 얘 눈깔 얘 토전생 했어?
00:39:57.09,00:39:57.61,지지담담님 디라쌰이 오우
00:40:00.41,00:40:25.07,명조 히유키 명조 히유키 전형적인 딱 미녀 관상이네요 베란 유도제님 닉네임 꼴하지마라
00:40:29.99,00:40:51.48,어 이게 왜 돼 데스노트 램 데스노트 램 수도 너퍼님
00:41:00.23,00:41:13.57,오잉 랩 여자 아니야?
00:41:24.18,00:41:25.03,오케이 새우등님
00:41:39.57,00:41:57.68,나 왜 안걸림 보이시한 여자친구가 너무 귀여워 아키라 지금 구독자 추첨이랍니다 안경쓰네 말하는건가요?
00:41:57.70,00:41:58.34,아닌가?
00:41:58.36,00:41:59.15,주인공 캐릭 맞나?
00:42:06.96,00:42:25.25,와 근데 진짜 가슴 아니었으면 진짜 이상 성욕자들 존나 잘 들러붙게 생겼네
00:42:39.59,00:43:02.39,"1, 2, 3, 4, 5, 6, 7, 8 타이머 단 150초 동안 투표를 진행하도록 하겠습니다"
00:43:08.18,00:43:16.43,편안하게 원하는 그림을 지켜주세요.
00:43:16.45,00:43:17.53,오늘 재활용 버리는 날인데.
00:44:30.55,00:44:56.18,자 단 30초 남았습니다
00:45:00.89,00:45:28.90,단 10초 5 4 3 2 1
00:45:30.30,00:45:52.93,아 8번 메레토 얘가 뽑히는 건 처음인 것 같은데 애초에 항목에 올라온 것도 얘가 처음 아닌가?
00:45:53.15,00:45:59.51,리즈북스에서 봤어요 저도 책을 사진 않았는데 순위권에 있는 걸 봤어
00:46:06.50,00:46:33.09,왠지 빠르게 그릴 수 있을 것 같이 생겼는데?
00:46:40.69,00:47:08.55,저런 애가 결혼하면 머릿길러서 더 이상 톰보이가 아닌 훌륭한 여성상이 된다는 설정은 난 좋지 않다고 생각하는데 님들은 어떤가요?
00:47:08.57,00:47:10.29,그것도 나름의 맛이 있지 않을까요?
00:47:23.21,00:47:48.07,얘도 우자키 양반 상인 뻔 많아 인지 설명 좀 해주세요 끌리며 함 볼게 음 이것도 나름 인기의 로브 코미디 일텐데
00:48:07.34,00:48:21.01,괴성욕자 아니야?
00:48:35.50,00:48:57.41,근데 쇼컷에 승가 크다고 하니까 츠바키 생각나는 거 나만 그럼 뭐 그런 캐릭터 찾아보면 적진 않죠 우자키 애니로 봤는데 슬슬 자칭 남친이 리미터가 맛이 갈려고 하고 있는 것만 기억함
00:49:05.67,00:49:30.18,머리카락을 세세하게 쪼개 줍시다
00:49:39.71,00:50:04.12,뭐야 이새끼는 난 아무한테나 뽀뽀 안해 누구한테 하냐고?
00:50:04.14,00:50:05.16,우리 뽈롤로
00:50:11.98,00:50:38.78,먼 년이 야 으 으 버트 보면서 액정에 물고 빨고 했을듯 상상도 못해봤다 그런 사람이 존재할 리가 없잖아
00:50:41.26,00:50:44.80,왜 없다고 생각하냐고?
00:50:44.82,00:50:46.76,슈렛인 것 같은 건가요?
00:50:46.78,00:51:08.39,있을 수도 있고 없을 수도 있는 그런?
00:51:08.41,00:51:10.15,미연씨 여주한테 잘만 해놓고 이제 와서 뭔 차라리 목욕 방송을 안 했다고 하는 게 신빙성 있겠다 레바가 지난 크리스마스 미연씨 할 때 한 행동을 하는 레꼬단
00:51:13.94,00:51:37.42,버튜버 같은거 외부 결국 안에 사람이 있는거 아니야 라고 말해놓고 버튜버 보는 사람도 있는데 있을 수도 있죠 다시 거니 반박 중에 가장 일리 있었어 승권아 밥먹는데 그 패드는 뭐냐 뭐 데이트라고 뭐가 당첨 이라고
00:51:48.99,00:52:16.16,좀 더 가슴이 좀 좁혀지고 있는 느낌으로
00:52:23.20,00:52:51.11,지금 수영복을 입고 있는 모습이 표지로도 하나 있네요 이걸 참고해야 될 듯 승부 속옷으로 해달라고?
00:52:52.59,00:53:10.48,얘는 그냥 일반 민무늬 속옷 입어야지 존나 야할 것 같은데 오히려 이런 애가 이쁜 속옷 입으면 별로예요 형님 딴 건 아니고 조별 과제가 4개나 예정된 저에게 조회 좀 표해 주시겠습니까?
00:53:10.50,00:53:10.60,감사합니다
00:53:16.51,00:53:22.07,이런 애는 또 자기의 매력을 모르고 있는 그런 포지션이 대체로 많을 텐데?
00:53:22.09,00:53:34.92,막 시발 누가 막 남주인공이 뭐라고 플러팅하면 나같이 남자같이 머리도 짧고 이성적 매력이 없다는 듯이 자기는 막 이렇게 염병 떨어야지 캐릭터 완성인데?
00:53:44.72,00:53:45.74,이 만화 봤지?
00:53:45.76,00:53:46.66,뻔해!
00:53:49.69,00:54:05.55,그러지 않으면 안 돼 이런 캐릭터는
00:54:19.72,00:54:44.01,나같이 남자같이 생긴 애가 뭐가 좋다고 현실 나 좀 가제하야 같이 생겼음 하지만 중년이시고 뭔 상관이야 뭔 연관인데 그거 두개 얘는 대학교에 가면 남친한테만 갸루리미터 해제하는 관상인가요?
00:54:50.80,00:55:17.48,맞은 관상부터 본인한테 자신 없어서 연애는 남친이랑 조심조심하고 성욕은 육상부 선배나 체육 코치로 품 그런 취향이신가요?
