시작 시간,종료 시간,내용
00:00:07.97,00:00:13.65,시청해주셔서 감사합니다.
00:00:36.63,00:00:54.87,아니 이 시간에?
00:01:16.15,00:01:40.98,지금은 됐나요?
00:01:41.24,00:01:42.44,작업방송이니까 이렇게 하는게 나으려나?
00:01:45.83,00:01:58.51,이하 심여원 보 방송 얼마 만이고
00:02:15.50,00:02:40.33,이게 얼마만에 원고 방송이야 아 고마워요 연재천은 저도 몰라요
00:02:46.75,00:03:15.90,일단 만화를 만들어서 투고를 해야지 어디서 할지 정할 수 있겠죠?
00:03:15.91,00:03:16.24,워낙 좋았어 음... 음...
00:03:17.68,00:03:30.41,아 구독 고마워요 흑백이냐고 컬러냐고요?
00:03:30.43,00:03:47.59,모르겠어요 일단 그래서 일단 프로로그를 먼저 만들어보려고 자 작업속도 하나는 빠른 편입니다 드디어 만화를 그리는구나 형
00:03:48.02,00:04:14.20,나 눈물 나려고 해.
00:04:14.22,00:04:14.70,이미 한사에서 온 곳에서 연락 온 거 아님?
00:04:14.72,00:04:14.84,보랄루 왜?
00:04:14.86,00:04:15.20,아이고 보랄루도 나오고 싶구나.
00:04:15.22,00:04:15.30,보랄루.
00:04:21.69,00:04:44.36,응응응
00:04:56.64,00:05:25.76,아 고마워요 아니요?
00:05:25.88,00:05:26.00,시트콤입니다
00:05:39.08,00:06:06.52,프로로그 완성되면 네이버 카페에 올려봐라 내가 재미있는지 없는지 100자 이내로 피드백 남겨줄게 먼저... 피디들부터 보여줘야죠 병나 이제 다이어트 하려고 생각 중이야 벌크업 하려고 ㅈㄴ 처먹었는데 지금 몸무게 91kg인거 보고 마렵다 앞자리 팔로 바꾸고 올게 내가 랩 병올리고 올게 다 기다려 영흥흥
00:06:26.06,00:06:45.96,레바톤 시즌2는 연기된거야?
00:06:45.98,00:06:46.06,몰라요?
00:06:46.08,00:06:46.26,흐흐흐흐 흐흐흐흐
00:06:58.31,00:07:24.04,오로리가 계속 캠을 건드네
00:07:26.98,00:07:46.23,이제 덜 흔들릴 듯?
00:07:46.25,00:07:47.13,또 주인놈이 한때기 보고 말하고 한때기에 혼자 이상한거 비비고 있으니까 그런가보
00:08:01.20,00:08:25.12,날 레바같이 인스타툰 1화 딱히나 한 인간을 바나바로 봐서 난댄다고 생각한다.
00:08:25.14,00:08:25.57,반론하고 싶으면 2화를 그려 증명해라.
00:08:25.59,00:08:25.71,감사합니다.
00:08:25.73,00:08:26.35,아 자려고 누웠는데 현방제 보고 바로 몬스터 빨고 있어.
00:08:26.37,00:08:26.71,아 형 드디어 차기작 하는구나.
00:08:26.73,00:08:26.85,늘 사랑해.
00:08:26.87,00:08:27.27,레바 형 얼굴 핀 키워주면 안 되나?
00:08:27.29,00:08:27.53,좀 잘 얼굴 좀 보게.
00:08:29.40,00:08:54.37,레바의 주식 퀸은 이제 못 보는 건가?
00:08:54.39,00:08:54.59,이 정도면 됐나요?
00:08:54.61,00:08:55.59,텅플라 벌써 토끼소대까지 더빙이 나왔어 이제 겜창부 2장만 나오면 최종장 더빙이야 후구공
00:09:03.94,00:09:26.56,그래도 왜..
00:09:41.96,00:09:55.38,기다려줘
00:10:16.30,00:10:38.47,발 받침대로 쓰고 있는 책은 뭔가요?
00:10:38.49,00:10:38.67,발 받침대 이거?
00:10:38.69,00:10:44.82,학생 교복 설정지 각종 부위별 세부 묘사가 있답니다
00:11:27.02,00:11:36.69,정시 견제는 언제쯤 할 것 같음?
00:11:37.69,00:11:37.77,몰라요?
00:11:37.79,00:11:38.23,이거야말로 아무도 예상 못하는 포인트
00:11:58.16,00:12:25.74,그렇죠 일단 1화 완성본에다가 콘티를 5개 정도 만든 다음에 각 사이트에 투고를 하는 거죠
00:12:27.77,00:12:56.11,참고 던파즈바 가서 네오프리 던파 클래식 올해 가을에 내면 레바 신작은 2년 뒤까지 필름!
00:12:56.13,00:12:56.74,자 자 각 연재처 여러분 자기 PR 좀 해보세요 고르게
00:13:02.13,00:13:28.61,그래?
00:13:28.63,00:13:28.95,그런 경우가 많나?
00:13:46.85,00:14:10.24,레바는 오래 앉아 있어도 다리 안 떠는구나 정잔데 레바면 네이버 웨딩 탑순 소년점프 소년선배위 등등 줄 세워놓고 얼마까지 주실 수 있나요 하는거 아니었어?
00:14:12.53,00:14:40.28,정받아주는 데 없으면 네이버 웹툰 부서에 나치지직 파트너 스트리머인데 나 연재 안 시켜주면 이적한다?
00:14:40.30,00:14:40.70,고 협박하면 됩 뭐라는 거야 너너너너
00:14:46.84,00:15:09.22,작가님 혹시 원고 작업하고 연재 준비하는 게 최근 나스닥 때문에 그런 건 아니시지요?
00:15:09.24,00:15:09.32,아니요.
00:15:15.02,00:15:18.01,급하게 원고만 킨 이유가 뭐냐고?
00:15:18.03,00:15:19.05,급하게 킨 거 아닌데?
00:15:19.17,00:15:41.56,나 오늘 하루종일 만화만 그렸어 이거 오늘 하루 동안 그린 거야 왜 이제 켰냐고?
00:15:41.58,00:15:42.02,그냥?
00:15:42.04,00:15:42.68,캄캄하다가 그냥
00:15:44.86,00:16:04.79,오늘 좀 늦게 잘 것 같아서 그냥 켰어요 오로로 건들지 마
00:16:15.15,00:16:36.78,뭔가 조명 옛날 생각나네 옛날에도 이런 조명이었나?
