시작 시간,종료 시간,내용,live_id
00:00:08.46,00:00:35.18,다음 영상에서 만나요.,18291475
00:00:37.07,00:00:43.85,레이하.,
00:01:01.30,00:01:26.78,다음 영상에서 만나요!,
00:02:07.68,00:02:34.55,아 헬로우 이거 이거 참 오늘 뭔가 기분이가 이영 좋지 않습니다,
00:02:35.77,00:03:05.71,아 구독 고맙습니다 자다 일어난 건 아니고 음 기분이가 왜 별로냐고 일단 오리지널 작품을 짜고 있으니까 레바퀸이 하고 싶어졌어요 그래서 줄때 없는 나를 지금 혐오하는 중 그래서 지금 혼란함,
00:03:07.98,00:03:20.48,진짜 미친놈 아니야?,
00:03:20.50,00:03:37.48,앞부분은 잉잉잉 간만에 잉잉잉 그래서 그런가봐,
00:03:44.31,00:03:53.28,아직 젊을 때 새로운 것에 도전을 해라.,
00:03:53.90,00:04:13.10,"레바투는 심장을 할 때 먹었던 마음에서 도망치는 거다, 벌떡게이 자식.",
00:04:14.89,00:04:16.75,스케치업 쓰라고?,
00:04:16.77,00:04:36.95,나도 3D 프로그램을 몇 개 써봤는데 내 선이랑 너무 안 맞아 그래서 매우 매우 적게만 쓸듯 그럼 멋있어?,
00:04:37.13,00:04:42.62,멋있어 쓰는 건 당연하고 일단 최소한은 내가 할 수 있을 만큼은 다 하고 싶단 말이죠,
00:04:43.34,00:04:58.28,아니 콘티가 아니고 방향성 아 참나,
00:04:59.20,00:05:05.35,어제 자기 전에 레바톤에 한번 싹 100화 분량을 정정했거든요?,
00:05:05.37,00:05:25.92,근데 재밌는 거야 그래서 레바톤이 훨씬 더 재밌는 것 같기도 하고 약간 그런 생각도 하고 지금 매우 혼란한 그런 상황이에요 그래서 일단은 진짜로 1화씩 하나 짜볼까 싶어요,
00:05:29.04,00:05:58.72,일단 오리지널 작품도 한 개 짜보고 레반툰도 한 개 짜보고 그런 식으로 4개월만큼 사랑해 구독 고맙습니다 24개월입니다 24개월 구독 고마워요 야,
00:06:00.14,00:06:20.92,넵바님 강동원 닮았어요.,
00:06:20.94,00:06:21.22,어 이런 오해를 하셨군요.,
00:06:21.24,00:06:21.62,저는 강동원이 아니라 이승권입니다.,
00:06:21.64,00:06:22.12,하지만 왜 오해를 하셨는지는 이해가 되네요.,
00:06:22.14,00:06:29.47,아 진짜 이런 기분이 들까봐 최대한 오래 쉬려고 했는데 오히려 매일 일찍 맞아서 좋다고 해야 되나 이거?,
00:06:35.48,00:06:52.01,뭐야?,
00:06:58.44,00:06:59.06,우리를 제압한 게 저런 머리 나빠 보이는 반편이들이었어?,
00:06:59.08,00:06:59.42,누가 누구더러 반편이라는 거야?,
00:06:59.44,00:07:00.34,전장에서 불꽃놀이를 한답시고 탄약을 모조리 날려먹은 반편이 갈 소리가 아닐 텐데.,
00:07:00.36,00:07:00.52,거빈 잘 됐네.,
