시작 시간,종료 시간,내용,live_id
00:00:59.92,00:01:02.77,.,18303587
00:01:02.79,00:01:02.81,.,
00:01:02.83,00:01:02.85,.,
00:01:02.87,00:01:02.89,.,
00:01:37.45,00:01:42.24,다음 영상에서 만나요!,
00:02:12.71,00:02:36.63,다음 영상에서 만나요.,
00:03:27.17,00:03:53.85,아이고 잠을 좀 잘못 잤나 온몸이 결리네 캠이 뭔 하둘이 같냐고 왜?,
00:03:53.87,00:03:54.49,조만간 어딘가 순한 구독 배지를 달 생각에 겁이 나는 나,
00:03:56.65,00:04:08.48,짜잔!,
00:04:15.56,00:04:22.59,뭐부터 할까?,
00:04:22.61,00:04:22.91,피로해보기 힘들 나이긴 해.,
00:04:22.93,00:04:23.31,그런 것 같긴 해.,
00:04:24.29,00:04:46.03,이제 막 일어나서 어 아직 헬도 안 돌렸어요 일단 헬부터 돌릴까나 뭐야 세라 영향을 벌써 다 썼잖아,
00:05:08.74,00:05:11.66,나나나나나 목소리 잠긴거 같다고?,
00:05:12.06,00:05:24.82,방금 일어나서 그래요 좋은 레압 추천?,
00:05:24.84,00:05:35.89,레압에 조코 말고 어딨어,
00:05:41.96,00:06:11.48,답답한 건 잘 되네 주말 근무하면서 미리 드롭스 파밍하기 나도 전파한대,
00:06:17.15,00:06:25.39,복귀해서 헬덧만 돌려볼까함?,
00:06:25.61,00:06:32.73,그래도 돼요 다들 드롭스 받아가세요,
00:06:47.62,00:07:01.70,쩌렐리 왜,
00:07:14.68,00:07:18.68,레바와의 의미를 지키려고 그옵서 1시간 남겨놨다고?,
00:07:21.02,00:07:21.20,감정이예요.,
00:07:21.34,00:07:21.64,오!,
00:07:22.26,00:07:22.34,오!,
00:07:40.34,00:07:40.40,변해!,
00:07:40.42,00:07:40.48,변해!,
00:07:40.50,00:07:40.56,씨발!,
00:07:40.58,00:07:41.04,레이드?,
00:07:41.20,00:07:44.55,레이드 4캐릭은 돌릴 것 같은데?,
00:07:44.97,00:08:01.08,편집자 지금 출근하셨나요?,
00:08:01.10,00:08:07.29,편집자 없으면 던파 못하는 몸이냐고?,
00:08:07.31,00:08:07.37,거의?,
00:08:07.61,00:08:08.43,딜의 법규 막기수라고요?,
00:08:09.81,00:08:09.89,이럴수가,
00:08:13.92,00:08:43.59,편집자를 폭포 분이 덤프하시는 분인거야 아님 아예 덤프하시는 편집자를 따로 구한거야?,
00:08:45.99,00:09:05.08,우연입니다 뭐야 영예알 다 썼어?,
00:09:05.10,00:09:06.06,벌써?,
00:09:06.47,00:09:07.07,다음 다크 템플러,
00:09:13.49,00:09:43.50,다음 영상에서 만나요.,
00:09:45.20,00:09:47.60,잠재 바닥에 이거 뭐냐고?,
00:09:47.62,00:10:11.83,아... 디거시 옵션이에요 엠버서도 보급품이라 당연히 썼지,
00:10:13.97,00:10:38.53,운 좋네 내가 확률 조작 한 것 같지 않나요?,
00:10:38.55,00:10:42.49,2주차 이후로 뭔가 상태가 메롱한데,
00:10:45.34,00:11:03.25,ㅇㅅㅇ,
00:11:13.39,00:11:38.13,오오오 오오오,
00:11:39.23,00:12:04.49,엄나 안 뜨긴 하네,
00:12:04.91,00:12:29.93,다음 이번에 채널을 좀 옮겨 볼까?,
00:12:29.95,00:12:30.61,천에 천으로 그래도 천장 있잖아 차만한 천장 없을 때 접었어,
00:12:31.84,00:12:57.54,짱.,
00:12:57.56,00:12:57.72,레바야 레바야.,
00:12:57.74,00:12:57.96,서약은 가라도 에프.,
00:12:57.98,00:12:59.40,태초 소울은 안 드는데 왜 서약 먹으려고 까는 저울이랑 태초 서약 방아리는 누구 재료가 태초 소울인지 동인이엠한테 좀 물어봐줘.,
00:13:00.41,00:13:28.36,니가 물어봐 고객센터에 문의해 디렉터 소통 창구가 아니란 말이에요 그럼 대체 뭐하는 거냐고?,
00:13:28.37,00:13:28.53,나 범파하는데?,
00:13:29.14,00:13:29.24,개자식아?,
00:13:35.11,00:14:03.95,레인저의 숙명 아 오늘 못박았는데 이거,
00:14:06.73,00:14:24.07,정성스럽게 때리라고?,
00:14:24.21,00:14:26.70,정성스럽게 안 나온다고,
00:14:31.53,00:14:54.71,뭐 자꾸 살 때까지 씨발 뜨네?,
00:15:00.59,00:15:18.04,그 다음은 레인저 아 갯이 존나 잘 떨어진다 어?,
00:15:18.06,00:15:20.06,바블렉 뭐지요?,
00:15:20.08,00:15:27.33,확률 조작의 증거?,
00:15:27.91,00:15:28.71,내 통장엔 더 있어,
00:15:35.49,00:16:00.71,아 그 정도로 많이 먹진 않았어,
00:16:02.95,00:16:32.08,아이 겁나 안 주는데 오늘 뭐지?,
00:16:33.93,00:16:54.76,당연하죠,
00:16:56.79,00:17:21.88,아 존나 안 된다 진짜,
00:17:26.68,00:17:41.73,이 새끼는 태초 서약이 있단 말이죠?,
00:17:42.13,00:17:48.72,이 새끼를 본캐급으로 만들 기회다 너에게는 영약도 주지,
00:18:01.83,00:18:29.58,오늘 0 싹수가 없는데,
00:18:33.86,00:18:34.76,라고 하니까 주나?,
00:18:55.55,00:18:59.42,에이 X발 왜 코너 룩들 다 1차례합이냐고?,
00:18:59.44,00:18:59.78,이유 있냐고?,
00:18:59.80,00:19:00.58,이게 1차례합으로 보여?,
00:19:01.99,00:19:31.05,머리아바타마의 일자리압이긴 한데?,
00:19:31.22,00:19:58.98,5 5 5 5 5 5 5 5 5 5 5 5,
00:20:02.07,00:20:04.25,헬 돌고 결정하냐고?,
00:20:04.27,00:20:09.98,결정은 이제 할 생각 밖에 없는데 내가 덕화 언제부터 했냐고?,
00:20:10.00,00:20:10.56,오늘 아닌가요?,
00:20:10.60,00:20:23.63,아니면 인생에서 말인가요?,
00:20:23.69,00:20:26.15,인생으로는 중2 때부터 했습니까?,
00:20:33.47,00:20:49.79,아이 ㅈㄴ 안쓰네!,
00:20:56.54,00:20:58.88,가이드로 갔다는데 인당 7만원씩 나왔다고?,
00:20:58.90,00:21:02.77,거기 ㅈㄴ 비싸긴 해 근데도 사람 ㅈㄴ 많잖아,
00:21:05.38,00:21:27.83,마지막으로 주나?,
00:21:28.39,00:21:29.01,아이 개자식,
