시작 시간,종료 시간,내용,live_id
00:00:06.19,00:00:25.62,아무튼 오늘은 맛있게 먹도록 하겠습니다.,18412393
00:00:25.64,00:00:26.10,형 또 교촌 먹고 감기 걸리는 거 아니야?,
00:00:26.12,00:00:26.86,소리 울린다고?,
00:00:27.06,00:00:32.57,기다려봐.,
00:00:32.59,00:00:33.29,형 석고 나온 유튜브 영상 봤는데 다리가 왜 이렇게 휘어있었어?,
00:00:35.06,00:00:53.77,다리가 휜 게 아니고 주머니에... 잠깐 소리 설정 좀 할게요.,
00:00:54.71,00:01:02.72,배그하느라 소리를 올려놔서...,
00:01:03.27,00:01:23.91,아 저 스팀백을 정지 풀었어요 하여튼 한 입 먹어보도록 하겠습니다 아사히 생맥주와 함께 이번에는 레드 먼저 한번 먹어볼까?,
00:01:23.97,00:01:25.25,초점이 안 잡힌 자다,
00:01:39.59,00:02:06.17,잘 튀겼네 도내 소리가 아예 꺼져있었구나 요즘 레바 나이 먹은 게 느껴진다 슬프네?,
00:02:06.19,00:02:06.87,왜?,
00:02:06.89,00:02:08.41,갑자기 씨발 왜 또?,
00:02:09.68,00:02:17.63,이 엠버서더는 뭐하는 직업인지 알 수 있을까요?,
00:02:17.65,00:02:17.69,와!,
00:02:17.79,00:02:33.14,많았나봐 고맙습니다 이번주는 영화도 보고 막 이것저것 다 했어요 오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오,
00:02:34.63,00:02:37.04,형 진짜 늦긴 했다 팔자주름이?,
00:02:37.12,00:03:03.55,이 정도면 뭐 예전이랑 비슷한 수준인데 지랄이야 영화 그 프로젝트 헬메이 그거 봤는데 근 몇 년 사이 본 SF 중에 최고였어요,
00:03:05.87,00:03:28.16,내가 하루에 3시간만 자면 어떻게 되는지 모르겠어.,
00:03:28.42,00:03:29.28,치맥같이 할 버튜버 애인이 없으시다고요?,
00:03:29.68,00:03:32.05,혹시 구독 늑대의 유혹 가능한가요?,
00:03:32.55,00:03:33.09,아 또 영도 고장나서 그런가?,
00:03:33.11,00:03:33.33,제 유튜브를 끌게요.,
00:03:38.61,00:04:02.79,5개월 뭐야 애초에 이건 5초 짜리 잖아 성격상 키잠 못한지만 키잠 해보고 싶긴 해 이걸 앞뒤로 자르면 어떡해요 개자식아 내가 하루에 3시간만 자면 어떻게 되는지 보여줄게,
00:04:04.36,00:04:23.25,교촌?,
00:04:23.27,00:04:24.33,아 치킨이요?,
00:04:25.09,00:04:27.85,이거 교촌 레드허니 순살 반반입니다,
00:04:36.81,00:04:46.66,야 고마워요 뼈를 순살 시켜야지 왜 순살?,
00:04:47.38,00:04:51.01,순살이 더 먹기 편하지 않나요?,
00:04:51.03,00:04:53.25,매번 교촌 안 먹는다면서 왜 이리 자주 먹냐고?,
00:04:53.27,00:04:56.92,존나 오랜만에 먹는데 치킨?,
00:04:56.94,00:05:00.26,내가 언제 마지막으로 치킨 먹었다고 그래?,
00:05:00.28,00:05:00.30,음,
00:05:05.14,00:05:11.51,교촌 라이스 어닉 콤보 배달료 포함해서 3만 2천 원됨.,
00:05:11.53,00:05:11.73,레바 개부자 맞음.,
00:05:11.75,00:05:26.87,고수족 누나들이 일하는 던킨 도넛을 하는데.,
00:05:27.67,00:05:30.62,아 운동 가야 하는데.,
00:05:30.63,00:05:30.84,아 무슨 도넛이지?,
00:05:30.86,00:05:31.06,아 무슨 도넛이지?,
00:05:31.08,00:05:31.28,아 무슨 도넛이지?,
00:05:31.30,00:05:31.50,아 무슨 도넛이지?,
00:05:31.52,00:05:31.72,아 무슨 도넛이지?,
