시작 시간,종료 시간,내용,live_id
00:00:06.69,00:00:30.27,시나뉴가!,18520871
00:00:41.61,00:00:45.11,.,
00:00:45.13,00:00:45.15,.,
00:00:45.17,00:00:45.19,.,
00:01:34.96,00:01:57.78,광재가 베란을 이길래 이 형이 드디어 미쳤나 했는데 미친 건 나였고,
00:02:10.40,00:02:14.43,알러 26카는?,
00:02:18.65,00:02:24.72,구독 고마워요 안 그래도 게임 좀 할까 하다가 게임 할거면 어차피 방송하고 하면서 하는게 낫지 않나?,
00:02:24.74,00:02:38.86,라고 생각이 들어서 이렇게 켜게 되었습니다 던팔 레기오는 이미 다 돌았어요,
00:02:48.68,00:02:49.48,짜자잔!,
00:02:49.50,00:03:02.26,아 구독 고마워요.,
00:03:02.28,00:03:04.38,에란게 그림이나 그려라 그림쟁이야?,
00:03:06.96,00:03:07.22,흠.,
00:03:07.25,00:03:11.81,그림도 좀 약간 쉬어가면서 그려야지 더 능률이 좋아질거에요.,
00:03:18.39,00:03:29.71,"아, 아, 아, 아 뭐가, 뭐가 뒤여 숄더?",
00:03:29.73,00:03:37.02,숄더는 올려줬는데?,
00:03:37.04,00:03:38.60,그냥 마라가 타이틀 떼는 거 어떠냐고?,
00:03:39.14,00:03:42.47,"뭐, 지금은 안 그리고 있으니까 떼도 상관없죠?",
00:03:42.55,00:03:43.69,"연재할 때 붙여줘, 그러면",
00:03:51.75,00:04:03.73,레바님 오늘은 어떤 신박한 방법으로 죽으실 건가요?,
00:04:03.75,00:04:18.44,고민 중입니다 어디로 가야지?,
00:04:18.46,00:04:18.55,여기다!,
00:04:18.56,00:04:20.65,소리가 너무 작거나 크거나 하지 않나요?,
00:04:36.25,00:04:40.24,너무 가까이 왔다.,
00:04:40.26,00:04:56.75,"오케이, 주변에는 몇 놈 있긴 하지만 거리가 좀 돼.",
00:04:56.77,00:04:57.07,근처에 차가... 좀 있다.,
00:04:57.09,00:04:59.76,"렛바님, 뮤직비디오 잘 봤어요.",
00:05:00.08,00:05:05.90,춤추고 식단 관리하느라고 눈 딱 드러나던데 그 와중에 우릴 위해 이렇게 방송도 해주시네요.,
00:05:06.14,00:05:06.24,고마워요.,
00:05:08.13,00:05:10.15,미션 확인 고고.,
00:05:10.17,00:05:13.30,"어, 매니저님 혹시 안 계시나요?",
00:05:13.32,00:05:16.70,미션 수락 좀 눌러주세요.,
00:05:16.73,00:05:16.82,계시다면.,
00:05:17.07,00:05:24.90,갑자기 출근해서 없을듯?,
00:05:24.92,00:05:30.09,와 26개월 구독이야 26개월 기념으로 26킬 해주세요.,
00:05:30.11,00:05:31.15,아 고마워요.,
00:05:39.91,00:05:41.33,"10등 안에 들어가기 10,000원?",
00:05:41.55,00:05:44.39,저건 존X 괜찮아 보이는데?,
00:05:44.41,00:05:45.11,캠 좀 키워달라고?,
00:05:52.14,00:05:52.18,왜?,
00:05:52.20,00:06:04.68,"미션도 제가... 잠깐만요 오케이, 눌렀어요",
00:06:11.14,00:06:24.60,어.. 엠피파이구나 써야겠다 나같은 퍼접은 이게 맞아 치키볶개 10만원?,
00:06:25.18,00:06:33.61,세상에 한번 도전해보겠습니다 크로마키?,
00:06:33.75,00:06:37.03,크로마키도 있긴 한데 꺼내려면 좀 번거로워서,
00:06:39.76,00:06:53.80,이대로 만족해 주십시오 저걸 초록색으로 도배했어야지?,
00:06:54.06,00:07:04.17,그 진짜 미친놈 집 같겠다 진짜 방송 대충 하네?,
00:07:04.87,00:07:05.99,언제 열심히 했나?,
00:07:06.01,00:07:07.71,저다 새삼스럽네?,
00:07:07.73,00:07:07.87,오!,
00:07:07.99,00:07:08.79,수류탄이 2개다,
00:07:11.81,00:07:35.47,아니야 난 플라이팬보다 곡괭이로 들겠어 6배율?,
00:07:35.49,00:07:38.68,오케이 오케이 오케이 판처로 1킬을 해보는게 일단 목표로 잡읍시다,
00:07:44.66,00:07:54.32,"오, 술탄 많은데.",
00:07:54.34,00:07:56.69,"난 홀로그램이 더 좋더라, 레드인 토트보다.",
00:07:56.73,00:08:03.76,이상하게.,
00:08:03.86,00:08:04.26,파베 버리세요?,
00:08:04.89,00:08:04.97,오케이.,
00:08:11.43,00:08:19.21,요새 평일에 방송 안키길래 아까 구취했는데 바로 켜버리네 어?,
00:08:19.23,00:08:19.35,뭐시대?,
00:08:19.37,00:08:40.51,하지만 그래도 와줘서 고마워요 뭐가 많다 수류탄 더 먹고 싶은데 뭘 버리는게 좋을까?,
00:08:40.53,00:08:40.57,붕대,
00:08:42.00,00:09:00.87,상 한 개 아 씨발 안.. 안 먹어지네?,
00:09:00.89,00:09:00.97,이래도?,
00:09:00.99,00:09:01.23,오케이 파밍 끝?,
00:09:01.41,00:09:07.14,내 시험.. 마지막인데 응원해달라고?,
00:09:07.16,00:09:07.96,아이 그냥 보라 어떻게 되겠지,
00:09:17.64,00:09:18.54,자기장 여기네?,
00:09:19.31,00:09:37.34,일단 차 챙겨서 여기 존버하자 롤롤롤롤롤롤롤오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오,
00:09:50.89,00:10:14.68,"오케이, 안전 주차 한 다음에 이렇게 막아버리고 좋았어, 자리 좋아",
00:10:19.95,00:10:39.25,누군가 이 집을 먹으려고 달려올 때 판처를 갈겨주면 좋아졌겠지?,
00:10:39.27,00:10:45.51,배그 유튜브 좀 봤나보네 배그 유튜브는 원래 평소에 심심할 때 많이 봤어요 주키님 거 되게 많이 봐,
00:10:55.64,00:11:18.56,블루도 보지 당연히 보지 블루는 너무 순수 피지컬이 진짜 뛰어나서 엉덩이 반짝반짝한거 묘하게 킹받네요,
00:11:25.73,00:11:30.39,조용한데?,
00:11:30.41,00:11:33.58,그지 여기서 대전투가 벌어질것만 같아 어?,
00:11:33.60,00:11:39.93,씨발 뭐야?,
00:11:40.17,00:11:46.92,씨발 튕겼는데요?,
00:11:46.95,00:11:48.09,튕기면 재접속돼?,
00:11:56.89,00:12:06.35,아 그래?,
00:12:06.89,00:12:09.05,제발 제발 제발 그래?,
00:12:09.43,00:12:10.33,얼마나 높아야 되지?,
00:12:10.47,00:12:22.37,4070으로는 무리인가요?,
00:12:22.39,00:12:23.51,아 게임 키는 데 존나 오래 걸리네,
00:12:32.01,00:12:50.11,아 뭐 튕기고 쥐랄이야 첫 방부터 어?,
00:12:50.17,00:12:57.60,오 오 됐다 됐다 제발 제발 제발,
00:13:16.98,00:13:17.50,오!,
00:13:18.00,00:13:32.54,내 옷!,
00:13:32.56,00:13:32.62,씨발!,
00:13:32.64,00:13:32.88,누가 왔는데?,
00:13:33.34,00:13:33.42,아닌가?,
00:13:33.44,00:13:33.58,내 발소린가?,
00:13:33.60,00:13:34.26,아닌가?,
00:13:46.41,00:13:47.07,발소리 맞다.,
00:14:21.19,00:14:45.31,천만한 새끼 재접속 5초만 늦었어도 죽었겠다,
00:15:03.19,00:15:10.67,어디서 헬기 소리가 존나 들리는데?,
00:15:10.69,00:15:11.09,판차 안 쓴 거야?,
00:15:11.27,00:15:11.37,헬기라고?,
00:15:12.26,00:15:15.14,그 거리에서 판차 썼으면 2킬이었겠다.,
00:15:38.50,00:15:50.85,엉덩이 섹시하지 않나요?,
00:15:50.87,00:15:51.93,오케이 자기장 좋아,
00:16:20.60,00:16:36.52,자자자 이쪽에서 뭔가 올 것 같애 한둘씩 올 것 같애 24개월 구독 고맙습니다 카베 요스베에요?,
00:16:36.54,00:16:38.64,그게 왜 궁금하지?,
00:16:38.66,00:16:50.06,저격할 생각인가?,
00:16:50.08,00:16:50.32,미션 하나 더 한다고?,
00:16:51.36,00:16:52.02,5킬 이상하기?,
00:16:52.04,00:17:03.09,5킬 빡센데?,
00:17:03.11,00:17:06.02,30킬 이상하면 3천원.,
00:17:06.04,00:17:09.38,30억회도 못해.,
00:17:09.40,00:17:19.29,수백킬에 5천만 레코단 대기 중입니다.,
00:17:19.67,00:17:19.77,도래도래.,
00:17:19.89,00:17:19.93,어?,
00:17:19.95,00:17:20.93,X발 자기랑 튀었어.,
00:17:30.38,00:17:50.10,야 너 가야되나?,
00:17:50.58,00:17:50.62,어!,
00:17:51.64,00:17:51.72,어이!,
00:17:51.74,00:17:51.84,시발 노!,
00:17:51.86,00:17:51.98,어우 그렇지,
00:18:05.32,00:18:31.67,잠깐 길이 아주 젖같은데 오토바이 아직 존재해요 고로로 가야겠다 길이 너무 안좋아 라이딩으로 판처 쏴지나?,
00:18:35.55,00:18:48.54,장전을 해야되니까 안되네?,
00:18:49.04,00:18:49.08,오!,
00:18:49.10,00:18:49.30,오!,
00:18:49.34,00:18:49.40,나래?,
00:18:49.42,00:18:49.52,또 거니?,
00:19:16.86,00:19:32.07,어디서 쏜 걸까?,
00:19:32.09,00:19:32.31,어?,
00:19:32.33,00:19:33.82,저 위에 차!,
00:19:34.56,00:19:34.60,아!,
00:19:34.62,00:19:34.66,아!,
00:19:34.68,00:19:34.72,아!,
00:19:34.74,00:19:34.78,아!,
00:19:34.80,00:19:34.88,아!,
00:19:35.20,00:19:35.24,아!,
00:19:35.26,00:19:35.30,아!,
00:19:35.32,00:19:35.36,아!,
00:19:35.38,00:19:35.42,아!,
00:19:35.44,00:19:35.48,아!,
00:19:35.50,00:19:35.54,아!,
00:19:35.56,00:19:35.60,아!,
00:19:35.62,00:19:35.66,아!,
00:19:35.68,00:19:35.72,아!,
00:19:35.74,00:19:35.78,아!,
00:19:35.80,00:19:35.84,아!,
00:19:35.86,00:19:35.90,아!,
00:19:35.92,00:19:35.96,아!,
00:19:35.98,00:19:36.02,아!,
00:19:36.04,00:19:36.08,아!,
00:19:36.10,00:19:36.14,아!,
00:19:36.16,00:19:36.20,아!,
00:19:36.22,00:19:36.26,아!,
00:19:36.28,00:19:36.32,아!,
00:19:36.34,00:19:36.38,아!,
00:19:36.40,00:19:36.44,아!,
00:19:36.46,00:19:36.50,아!,
00:19:36.52,00:19:36.56,아!,
00:19:36.58,00:19:36.62,아!,
00:19:36.64,00:19:36.68,아!,
00:19:36.70,00:19:36.74,아!,
00:19:36.76,00:19:36.80,아!,
00:19:36.82,00:19:36.86,아!,
00:19:36.88,00:19:36.92,아!,
00:19:36.94,00:19:36.98,아!,
00:19:37.00,00:19:37.04,아!,
00:19:37.06,00:19:37.10,아!,
00:19:37.12,00:19:37.16,아!,
00:19:37.18,00:19:37.22,아!,
00:19:37.24,00:19:37.28,아!,
00:19:37.30,00:19:37.34,아!,
00:19:37.36,00:19:37.40,아!,
00:19:37.42,00:19:37.46,아!,
00:19:37.48,00:19:37.52,아!,
00:19:37.54,00:19:37.58,아!,
00:19:37.60,00:19:37.64,아!,
00:19:37.66,00:19:37.70,아!,
00:19:37.72,00:19:37.76,아!,
00:19:37.78,00:19:37.82,아!,
00:19:37.84,00:19:37.88,아!,
00:19:37.90,00:19:37.94,아!,
00:19:37.96,00:19:38.00,아!,
00:19:38.02,00:19:38.06,아!,
00:19:38.08,00:19:38.12,아!,
00:19:38.14,00:19:38.18,아!,
00:19:38.20,00:19:38.24,아!,
00:19:38.26,00:19:38.30,아!,
00:19:38.32,00:19:38.36,아!,
00:19:38.38,00:19:38.42,아!,
00:19:38.44,00:19:38.48,아!,
00:19:38.50,00:19:38.54,아!,
00:19:38.56,00:19:38.60,아!,
00:19:38.62,00:19:38.66,아!,
00:19:38.68,00:19:38.72,아!,
00:19:38.74,00:19:38.78,아!,
00:19:38.80,00:19:38.84,아!,
00:19:38.86,00:19:38.90,아!,
00:19:38.92,00:19:38.96,아!,
00:19:38.98,00:19:39.02,아!,
00:19:39.04,00:19:39.08,아!,
00:19:39.10,00:19:39.14,아!,
00:19:39.16,00:19:39.20,아!,
00:19:39.22,00:19:39.26,아!,
00:19:39.28,00:19:39.32,아!,
00:19:39.34,00:19:39.38,아!,
00:19:39.40,00:19:39.44,아!,
00:19:39.46,00:19:39.50,아!,
00:19:39.52,00:19:39.56,아!,
00:19:39.58,00:19:39.62,아!,
00:19:39.64,00:19:39.68,아!,
00:19:39.70,00:19:39.74,아!,
00:19:39.76,00:19:39.80,아!,
00:19:39.82,00:19:39.86,아!,
00:19:39.88,00:19:39.92,아!,
00:19:39.94,00:19:39.98,아!,
00:19:40.00,00:19:40.04,아!,
00:19:40.06,00:19:40.10,아!,
00:19:40.12,00:19:40.16,아!,
00:19:40.18,00:19:40.22,아!,
00:19:40.24,00:19:40.28,아!,
00:19:40.30,00:19:40.34,아!,
00:19:40.36,00:19:40.40,아!,
00:19:40.52,00:19:40.64,아!,
00:19:40.66,00:19:40.70,아!,
00:19:40.72,00:19:40.76,아!,
00:19:40.78,00:19:40.88,아!,
00:19:40.90,00:19:40.94,아!,
00:19:40.96,00:19:41.00,아!,
00:19:41.02,00:19:41.06,아!,
00:19:41.08,00:19:41.13,아!,
00:19:41.15,00:19:41.19,아!,
00:19:41.21,00:19:41.25,아!,
00:19:41.26,00:19:41.30,아!,
00:19:41.32,00:19:41.36,아!,
00:19:41.39,00:19:41.43,아!,
00:19:41.45,00:19:41.47,아,
00:19:55.18,00:19:59.43,미션창 화면 가려서 불편한데 하나만 띄워놓으면 안됨?,
00:19:59.45,00:20:05.11,미션창 그럼 이쪽에 둘게요 어때 내템 맛있니?,
00:20:05.59,00:20:08.86,개자식아?,
00:20:21.05,00:20:21.29,판처는 안 들고 와네?,
00:20:21.31,00:20:22.57,아... 되게 잘 쏘더라 얘가,
00:20:33.89,00:20:51.24,아 휘돌릴 때 화면 전환점 오케이 랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄랄�,
00:21:08.50,00:21:09.91,마우스 소리 페이크야,
00:21:37.63,00:21:54.87,호잇!,
00:21:54.89,00:21:54.95,호잇!,
00:21:54.97,00:21:55.03,호잇!,
00:21:55.05,00:21:55.25,얍!,
00:21:55.27,00:21:56.22,배그한지 얼마나 됐냐구요?,
00:21:56.48,00:21:58.98,오늘은 이제 30분도 안된거 같은데?,
00:22:12.31,00:22:21.46,오늘 에란기를 좀 잘 걸린다?,
00:22:21.58,00:22:23.08,원고 안 함이라고 하면 긁히냐고?,
00:22:23.10,00:22:23.26,왜?,
00:22:23.69,00:22:28.63,안 할 수도 있지 난 좀 게임하면 안돼?,
00:22:29.00,00:22:29.14,저 나 서럽네,
00:22:47.34,00:23:08.96,맞아요 치킨 3번 정도 먹었어요 배그도 전자검색이 되는구나,
00:23:18.91,00:23:40.99,시작부터 카구팔이라니.,
00:23:41.01,00:23:41.79,발소리 들리지 않았어?,
00:23:42.14,00:23:43.00,내 발소리인가?,
00:23:53.54,00:23:56.30,내가 보지 못한 치킨은 절대 인정 못해.,
00:23:56.32,00:24:08.42,저격들 다 이기고 정정당당하게 치킨 먹어라.,
00:24:08.44,00:24:09.64,저격들 너무 잘해.,
00:24:09.72,00:24:12.08,일단 정확히 내가 못해요.,
00:24:12.10,00:24:15.02,내가 저격을 다 잡을 만큼의 그건 안 돼.,
00:24:32.40,00:24:50.59,차 저기 있고 자 기장은 또 여기로 잡혔네?,
00:24:50.61,00:24:55.12,차가 더 가까운 데 있네 네 고마워요,
00:24:58.91,00:25:09.08,그렇게 자신있는 던파도 레이드랑 상관해서 허구한 날 죽는 놈인데 치킨을 3번을 먹어 구라를 칠걸 쳐라 크크 아니 전적을 보라고 그러면 어?,
00:25:09.30,00:25:12.37,MPOK 될까?,
00:25:12.39,00:25:28.40,아씨 스카보다 이게 나을까?,
00:25:28.42,00:25:28.46,어?,
00:25:28.48,00:25:28.52,어?,
00:25:28.54,00:25:28.58,어?,
00:25:29.25,00:25:45.57,그게 뭐야?,
