시작 시간,종료 시간,내용,live_id
00:00:00.03,00:00:29.73,한글 자막 제공 및 자막 제공 및 광고를 포함하고 있습니다.,18553062
00:00:47.21,00:01:09.25,목적 밖으로 쫓겨나고 중요한 것들이 가슴이 날리고 오늘의 리스타트 세상은 사랑에 빠져있어 빛의 약물을 씻어,
00:01:29.18,00:01:56.04,다음 영상에서 만나요,
00:02:08.60,00:02:11.92,자막 제공 배달의민족,
00:02:44.78,00:02:58.28,일로와 오늘은 집이 살짝 어둡죠?,
00:02:58.82,00:03:12.67,커튼을 좀 쳤더니 집안이 딱 이정도 느낌 있더라고 그보다 저 속상하고 서운하고 억울해요,
00:03:13.72,00:03:37.06,유튜브 댓글을 보니까 뭐 내가 배그하는 게 너무 의도가 투명해 보여서 역겹다 정떨어진다 이 지랄하고 있는 거야 나 진짜 나 억울해서 뒤질 것 같아요 롤 할 때는 스텔 4전 끼고 싶어서 롤 하는 거냐고 지랄하다가 이제 배그 하니까 또 배그대로 지랄하고 존나 서러워요,
00:03:42.89,00:03:47.24,"흘린 말 하나 없네, 이 지랄.",
00:03:47.26,00:03:50.30,"억울해, 씨발.",
00:03:50.32,00:03:50.59,왜 아닌 척 하냐고?,
00:03:51.31,00:03:55.37,"아니니까, 개자식아.",
00:03:55.39,00:03:55.81,나 뭔 게임을 해서 지랄이야.,
00:03:56.15,00:04:00.82,다음은 오버워치인 거지?,
00:04:00.84,00:04:01.48,"남다른 게임 못 하겠네, 씨발.",
00:04:01.50,00:04:08.45,저 통단이 그럴 때는 신경도 안 쓰더니 빨통단이 그러니 서운했구나.,
00:04:08.47,00:04:08.97,둘 다 서운해요.,
00:04:08.99,00:04:11.21,맞는 말 하니깐 쳐 우는 거 꼴보기 싫네.,
00:04:11.23,00:04:12.71,이 새끼 아가리 여물어라.,
00:04:14.21,00:04:17.04,저 새끼 배내주세요.,
00:04:17.06,00:04:19.59,근데 정 떨어져도 우린 레바를 응원한다고.,
00:04:20.35,00:04:20.89,레바형 사랑해.,
00:04:25.01,00:04:25.15,고마워요.,
00:04:25.17,00:04:27.62,하이퍼즈 영상 올렸으면 그런 말 나왔을까?,
00:04:28.68,00:04:30.36,이거 뭐 게임 잘못이네.,
00:04:32.24,00:04:32.82,아니 시발.,
00:04:32.84,00:04:36.01,아니 사이퍼든 하고 배그도 했는데 배그 영상만 올라가서 이 새끼.,
00:04:37.09,00:04:49.81,스텔 라이브랑 배그하고 싶어서 이 XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,
00:04:50.06,00:04:53.78,뭔 소리야 나같이 투명한 사람이 어딨다고.,
00:04:53.80,00:04:59.59,좀 있으면 버트고랑 합방하려고 그림 방송 시작했냐는 말 나온다 각오하라고 크크크.,
00:04:59.61,00:05:01.65,신경 쓰면 지는 거라고?,
00:05:02.55,00:05:03.37,아니 시X야 억울한데 어떡해.,
00:05:03.51,00:05:09.38,이럴 거면 그냥 종겜 스트리머로 전향하자 뭘 고민해.,
00:05:09.40,00:05:09.54,아 나 진짜.,
00:05:09.56,00:05:14.63,근데 사실이 아니라고 해도 너가 지금껏 태움 행실에 업고라고 생각해야 하는 거 아님?,
00:05:15.73,00:05:15.91,내가 뭘 했는데?,
00:05:18.27,00:05:21.58,근데 오늘도 크림 방송 끝나면 배그할 거지.,
00:05:22.02,00:05:25.43,형 실력 느는 거 보면 재밌더라.,
00:05:25.67,00:05:30.79,또 배그하면 또 염병할 거지.,
00:05:30.81,00:05:37.02,그러면 블루님이 합방 멤버로 버튜버 데려오면 흥 내가 버튜버랑 합방하기 위해서 배그한 줄 알아?,
00:05:37.25,00:05:38.19,하면서 합방 차버리죠.,
00:05:39.79,00:06:06.57,근데 솔직하게 이제는 좀 억가같긴 한데 어쩔 수 없음 형이 처음에 버튜버가 뭐야 하면서 버튜버 슬레이어 포지션을 잡다가 갑자기 버육수 돼서 더 그런 듯 그니까 페코라랑 키리누키가 그 원인이다,
00:06:08.36,00:06:23.57,레바야 사실 넉다운 맞아 근데 좀 하게 해주라 이게 개꿀잼이라고 크크크 존나 서러운 넷이야 우연하게도 레바가 배그하고 나서 버튜버분들이 배그 합방하는 경우 꽤 있더라?,
00:06:23.59,00:06:31.24,원래 많았어요 아냐 니 배그하는 거 요즘에 재밌어 죽을 때마다 앙탈레바 개웃김 크크크,
00:06:33.38,00:06:43.96,이 버튜버랑 합방하려고 배그 연습했다는 게 트루인 진짜 보육수 미쳤네 존나 역겹노.,
00:06:44.44,00:06:45.92,이 새끼 씨앗 맥락 상관없이 지랄하네 갑자기.,
00:06:45.94,00:06:46.96,근데 진짜 배그 자주 해주면 안 돼?,
00:06:46.98,00:06:53.43,형 배그하는 거 볼 때마다 개웃기고 재밌어서 행복해즘.,
00:06:53.75,00:06:57.76,저런 말 하는 거에 대해서 문제 삼아서 얘기를 하고 있다가 바로 피가 나오네.,
00:06:57.78,00:07:01.38,블루가 잡아준 버튜버 합방 거절하면 남자라 거절했다고 음해 당할 듯 크크 음해가 아니란 말은 노노?,
00:07:05.04,00:07:29.08,왜 이대로 그림이 너무 이상해지는데 정중히 거절하는 방향도 생각해봐야 될 듯 너희 새끼 방금 버튜버 방송인들이 원래 배그 많이 한다는 거 다 알고 있었다는 거 무의식적으로 실토를 한 거냐 역시 투명 어휘 그래도 좋은 거 아니야?,
00:07:29.10,00:07:32.36,과염병으로 유입도 생기고 버튜버랑 합방도 하고 차하하,
00:07:34.42,00:07:58.72,아무튼 존나 속상해요 저 ㅅㅂ,
00:08:00.95,00:08:26.62,근데 에바 입장에선 어쩔 수 없음 해그 하고 싶은 것도 맞고 청자들이 버튜버 합방 업가하지만 속으론 해보고 싶기도 하고 이해한다 뭘 이해해 ㅅㅂ 업가에서 미안해 블루님하고 해그 합방해줘 WWE라면 즐길 것이고 UFC라면 조만간 통발 발언 통제 들어갈 듯 흐흐,
00:08:29.09,00:08:30.32,뭘 해도 지랄할 거잖아.,
00:08:31.04,00:08:47.56,사실 형 우린 합방이고 나발이고 형이 배그한다고 방송 자주 켜주니깐 우린 너무 좋아서 꼬투리를 이상한 걸 잡아서 그렇지 형 배그 재능은 없어도 방송 자주 보는 게 우리 낙이라고 뭔 말할 배그 재능 없어?,
00:08:47.58,00:08:49.99,근데 나도 그렇게 생각해.,
00:08:50.19,00:08:53.95,배그처럼 여러 명이서 하는 인싸 개마니까 그런 듯 혼자서 할 수 있는 스타크래프트이나 하죠.,
00:08:57.87,00:09:05.48,레바야 어차피 합방해도 육 먹고 합방 안 해도 육 먹는데 이런 이렇게 된 거 합방하고 육 먹는 게 어떠냐?,
00:09:10.29,00:09:11.54,육을 안 먹는 선택지는 없는 거야.,
00:09:11.56,00:09:15.92,몸 좋은 남자랑 합방하고 싶어 할 텐데 버튜버 같고 음해하는 거 너무 심함.,
00:09:19.37,00:09:20.31,뭐지?,
00:09:20.93,00:09:22.23,왜 게임을 하지?,
00:09:22.99,00:09:26.22,버튜버랑 합방하려는 건가?,
00:09:26.24,00:09:26.30,뭐지?,
00:09:27.02,00:09:29.33,왜 그림을 그리지?,
00:09:29.35,00:09:31.27,버튜버 축전인가?,
00:09:31.29,00:09:31.61,뭐지?,
00:09:32.41,00:09:34.01,왜 연재를 하지?,
