시작 시간,종료 시간,내용,live_id
00:01:38.05,00:01:56.84,진작에 날아가고 있었지롱 간다,18577489
00:02:05.93,00:02:11.88,어후 소리 너무 작지 않나요?,
00:02:11.90,00:02:24.81,이정도면 되나?,
00:02:24.83,00:02:24.89,작아?,
00:02:24.91,00:02:34.40,일단 내 근처엔 없어 여기 내가 다 먹어야겠고,
00:02:36.61,00:03:04.78,전파는 피로도 그래도 꾸준히 빼고 있답니다 오오 총 나잇 오오 총이 없어,
00:03:10.83,00:03:33.46,스크스 오 카구팔이다 일단 이 근처에는 안 내렸었단 말이죠 자귀장 가까워,
00:03:44.92,00:03:50.12,아 운프나 들어야겠다 나같은 허접 X밥은 이런거 다 드는게 맞아,
00:04:16.56,00:04:41.98,너무 넓은데 파밍하기에 저 안쪽으로 들어가면서 파밍할까 대도시를 관통해야 되긴 한데 오히려 대도시라서 교전을 피할 수 있을지도,
00:04:51.91,00:05:15.49,그래 그래 드디어 객관화가 되었구나.,
00:05:15.51,00:05:15.81,넌 딱 불격대장 스타일이야.,
00:05:15.83,00:05:16.29,9탄 들고 러쉬 뛰면서 6탄 킬이나 해라.,
00:05:16.31,00:05:16.43,그래야겠어.,
00:05:16.45,00:05:16.59,틸트도 그려.,
00:05:16.61,00:05:16.67,공사.,
00:05:23.89,00:05:25.13,왜 이렇게 총명해졌냐고?,
00:05:25.27,00:05:42.80,그 정도인가?,
00:05:42.82,00:05:42.92,고마워요.,
00:05:42.94,00:05:44.74,류탄!,
00:05:44.76,00:05:45.02,뛰어 뛰어 뛰어.,
00:05:45.04,00:05:48.77,일단 이 도시에서 총소리가 아직까지 한 번도 안 들렸단 말이죠?,
00:05:51.53,00:06:07.21,꼭 차다 기억해 둬야지 아니야 지금 좀 미리 어?,
00:06:07.23,00:06:18.27,보급이 내 멀리로 떨어지지 않을까?,
00:06:18.29,00:06:18.35,아니네,
00:06:21.30,00:06:39.14,기절한 새끼한테만 되지 않을까 그런거?,
00:06:39.66,00:06:49.71,개머리판이랑 보정기 이런거만 좀 나왔으면 좋겠는데?,
00:06:49.73,00:06:49.79,보험기,
00:06:58.90,00:07:06.83,오 개머리판 일단 자기장이 양쪽이라서 미리 자리를 선점이나 할까,
00:07:28.44,00:07:43.52,여권 고지대.,
00:07:47.61,00:07:48.23,건방져 아주.,
