시작 시간,종료 시간,내용
00:02:12.48,00:02:18.59,할로~~ 잘 들리나요?
00:02:18.61,00:02:24.42,제가 무려 헤드셋을 샀습니다.
00:02:24.62,00:02:34.55,야 뭐야 마실거 어디갔어.
00:02:34.57,00:02:34.67,버럭이 왜
00:02:40.69,00:03:09.79,고마워요 검은색 살지 하얀색 살지 고민했는데 이번엔 집이 하얘니까 하얀색으로 했습니다 짠
00:03:12.33,00:03:19.76,와 진짜 끼순이 같네 아리까또 이마 까주시면 안될까요?
00:03:19.78,00:03:38.65,난 게이다님 자꾸 당신 성적 취향을 나한테 맞추려고 하는데 그거 가스라이팅이에요 농담입니다
00:03:40.35,00:04:07.23,레이저꺼 샀는데 모델명은 정확히 모르겠네요 아 그 마이크 부분은 여기 따로 달려있더라구요 탈부착이야 뭔소리야 노우 첫판은 포친키 한번 갑시다
00:04:11.43,00:04:20.30,간다아!
00:04:20.32,00:04:35.14,아이 무선은 계속 충전해야 돼서 불편하지 않아요?
00:04:35.32,00:04:41.40,오오 내 먹잇감 존나 많은데 어 내가 가려는 곳 내린다 난 여기가야지 그러면
00:04:42.58,00:04:46.13,라고 하니까 내가 가는 곳에 내리네?
00:04:46.97,00:04:47.09,"아, 씨발."
00:04:47.11,00:04:47.51,어디 가지?
00:04:56.89,00:04:58.03,헤드셋 협찬이냐고요?
00:04:58.35,00:04:59.39,"아니요, 내 돈 내산입니다."
00:05:28.45,00:05:35.30,앞집에 내렸단 말이죠.
00:05:35.32,00:05:37.08,근데 정말 신중하네 다들.
00:05:37.32,00:05:47.17,보통 시작하자마자 총소리 와다다다다다다 들려야 되는데.
00:05:47.19,00:05:47.37,신문지구나.
00:05:56.16,00:05:56.32,시발 샷건이야.
00:05:56.34,00:05:56.68,2판 치킨 먹으면 박종민 종신.
00:06:01.05,00:06:20.61,야 앞집에 사람이 있을까?
00:06:34.78,00:06:54.65,발소리 아니 근데 수직감 그 수직반동 그렇다 치고 수평감도는 어떻게 잡는거야?
00:07:04.37,00:07:07.31,수평반동은 재주껏?
00:07:07.33,00:07:28.50,진짜 재능인가보다 그거는 혹시 모를 근접자를 위해 우지
00:07:37.73,00:07:56.77,아 나 M4 들어야지 위층에 사람 소리 들리지 않았어?
00:07:56.79,00:07:57.83,뛰어내렸다 레바님 헤드셋 보고 방구석 게임남이 이세계 가서 허허벌판을 뛰어다니는 남자룩 같아요
00:08:08.52,00:08:33.25,다른 곳으로 간 것 같은데 바로 앞집으로 나 7탄 총 반동 못 잡는데
00:08:38.34,00:08:38.60,브리싱!
00:08:39.12,00:08:39.20,브리싱!
00:09:00.88,00:09:00.96,어른이!
00:09:20.19,00:09:24.77,어 발소리 들렸는데 폭탄 소리 때문에 잘 안들렸어
00:10:39.50,00:10:39.98,있다.
00:11:42.06,00:12:07.87,아 이 새끼 허접인데 내가 더 허접이었다 그래도 요새 집에서 혼자 돌리는데 나름 전적 괜찮았단 말이죠
