시작 시간,종료 시간,내용
00:00:00.03,00:00:06.75,시청해주셔서 감사합니다.
00:01:08.89,00:01:38.71,"자는 줄 알았다, 이 새끼!"
00:01:39.66,00:02:04.48,오늘도 즐거운 버츄버 통발 제작시간이 와요.
00:02:13.62,00:02:37.03,하일로 딱 잠깐 자고 왔어요 뽀로리 왜 뽀로리 왜
00:02:44.62,00:03:05.38,자... 오늘도... 흠... 오늘도 몇 가지 그리고... 고마워요
00:03:08.82,00:03:37.09,오늘도 한두 가지 낙서를 한 다음에 투표를 뭐 잠깐 받아보도록 하죠 뭐래 씨 으음
00:03:45.14,00:04:09.80,어... 어... 씨발 방금... 방... 진짜 방금 눈 뜨자마자 다시 왔더니 어... 아직 몸롱하네 이거 와이셔츠 아닌데?
00:04:09.82,00:04:10.08,"그냥 티야, 티 음..."
00:04:14.65,00:04:38.50,아 당연히 커피야 장전시켜놨죠 여기 여기 여기 거짓말 막 그냥 튀는데도 그렇게 잘생긴거냐?
00:04:38.52,00:04:42.47,뭐지?
00:04:42.49,00:04:42.57,고마워요
00:04:43.97,00:05:06.86,어 저 왕년에 좀 빨아본 놈인가?
00:05:06.88,00:05:07.14,롤롤롤 롤롤롤 롤
00:05:17.21,00:05:40.11,아 미션이 열려있구나 닫아야겠다 정신이 하나도 없네 셔츠 벗기 아직도 ㅅㅂ 미션 야 이 개자식아
00:05:51.92,00:05:57.17,설치받기 5천원 자기야라고 해줘?
00:05:57.18,00:06:16.87,근데 왜 익명으로 했어 자기야 그렇게 당당하면 까란 말이야 하여튼 미션 성공입니다
00:06:19.34,00:06:20.16,도배하지마!
00:06:22.29,00:06:42.57,투표 받을 때 내가 투표 받는다고 얘기를 한다니까?
00:06:42.65,00:06:45.86,랩아 오늘 왜 이렇게 노회생 남 같지?
00:06:45.88,00:06:46.12,공대 나온 사람 같음.
00:06:46.62,00:06:46.72,고마워요.
00:06:49.65,00:06:51.97,안경 써서 그런가?
00:06:51.99,00:07:10.72,그냥 자다 있나서 그런가?
00:07:10.74,00:07:12.42,안경도 존X 더럽네
00:07:14.81,00:07:17.72,포로리 요즘 새로운 루틴이라도 생겼나요?
00:07:17.74,00:07:31.96,예전보다 자주 우는 것 같아요 뭐 당연히 잘 지내고야 있겠지만 그렇게 엄청 자주 우는 편은 아닌데 포로리 정도면 네 안경 도수 높아요 이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이이
00:07:49.98,00:08:16.81,안경 왜 이렇게 더럽냐 좀 닦아라 방금 닦았어요 아 고마워요 갈아입어
00:08:19.19,00:08:45.06,묘하게 방송 시작 시간이 약간 애매해서 그림 시청보다는 뭔가 모르겠네 일단 좀 생각 좀 자율 버트버 그리기 시간을 가질까 약간 그런 시간도 그런 생각도 들긴 하네
00:08:47.99,00:08:51.06,약간 자습 시간처럼.
00:08:51.08,00:09:02.57,어버이날 때 부모님께 500만 원 일시불로 긁어도 된다고 하셨다면서요?
00:09:02.60,00:09:02.72,역시 효자.
00:09:02.74,00:09:03.03,난 그냥... 투표해주세요.
00:09:03.05,00:09:03.58,이렇게 싹싹 낍니다.
00:09:03.60,00:09:07.64,엄마한테 월 한도 있는 카드를 줬는데?
