# live_id: 18800457
start_ts,start_sec,end_ts,end_sec,speaker,text
00:02:59,179.98,00:03:06,186.92,UNKNOWN,또 배그냐고? 예쓰 오늘은 다르다
00:03:06,186.92,00:03:18,198.32,UNKNOWN,바로 렛츠고
00:03:18,198.32,00:03:20,200.92,UNKNOWN,이분 합방하려고 배그하냐고요?
00:03:20,200.92,00:03:26,206.12,UNKNOWN,네 호쇼 마린이랑 배그를 하기 위해서
00:03:26,206.12,00:03:34,214.31,UNKNOWN,...더튜버랑 합방 가망 없다면서
00:03:34,214.31,00:03:37,217.11,UNKNOWN,이터널리턴 배울 때 안됐듬?
00:03:37,217.11,00:03:37,217.81,UNKNOWN,아
00:03:37,217.81,00:03:44,224.75,UNKNOWN,오늘도 치킨 못 먹으면 앞으로 콩가라고 부를 거야
00:03:44,224.75,00:03:50,230.04,UNKNOWN,아 고마워요
00:03:50,230.04,00:03:52,232.34,UNKNOWN,아 왜 이렇게 큐가 안 잡혀 주말 맞아?
00:03:52,232.34,00:04:02,242.04,UNKNOWN,한 판 견착 2킬 하기 노력해 보겠습니다
00:04:02,242.74,00:04:04,244.54,UNKNOWN,목소리가 작다고?
00:04:04,244.54,00:04:06,246.24,UNKNOWN,이 비건 자식 언제쯤 미션 받는...
00:04:06,246.24,00:04:14,254.16,UNKNOWN,아아 지금은 어때요?
00:04:14,254.16,00:04:16,256.94,UNKNOWN,호이차
00:04:16,256.94,00:04:19,259.04,UNKNOWN,하나 둘 셋 하나 둘 셋
00:04:19,259.04,00:04:25,265.09,UNKNOWN,괜찮아? 오케이
00:04:25,265.09,00:04:27,267.49,UNKNOWN,렛바는 거들 써도 안보는 5개월
00:04:27,267.49,00:04:30,270.39,UNKNOWN,아 5개월 구독 고맙습니다
00:04:30,270.39,00:04:36,276.5,UNKNOWN,행복하세요
00:04:36,276.5,00:04:39,279.3,UNKNOWN,이번엔 어디에 내려 볼까?
00:04:39,279.3,00:04:44,284.71,UNKNOWN,첫 판이니까 저쪽에 내려 볼까?
00:04:44,284.71,00:04:45,285.61,UNKNOWN,짜식
00:04:45,285.61,00:04:46,286.01,UNKNOWN,드디어
00:04:46,286.01,00:04:47,287.21,UNKNOWN,용기를 냈구나
00:04:47,287.21,00:04:49,289.35,UNKNOWN,난 네가 뭘 하든 응원한다
00:04:49,289.35,00:04:53,293.51,UNKNOWN,방금 발언은 클립 따서 1번 다시 HA에 내 자막 달아서 굴여 주마
00:04:53,293.51,00:04:54,294.65,UNKNOWN,ㅋ
00:04:54,294.65,00:04:56,296.31,UNKNOWN,왜 하필 건 기야
00:04:56,296.31,00:04:59,299.91,UNKNOWN,스트랄 때 안 들냐?
00:04:59,299.91,00:05:16,316.55,UNKNOWN,싸게 플레이하면 옥치도 할 만해
00:05:16,316.55,00:05:37,337.34,UNKNOWN,간다
00:05:37,337.34,00:05:59,359.4,UNKNOWN,슈우우우우우우우우우우우우우
00:05:59,359.4,00:06:10,370.3,UNKNOWN,이겨내나
00:06:10,370.3,00:06:12,372.1,UNKNOWN,오케
00:06:12,372.1,00:06:37,397.34,UNKNOWN,견착 1킬 성공
00:06:37,397.34,00:06:49,409.62,UNKNOWN,자기장이 일단 중앙이네요
00:06:49,409.62,00:06:50,410.72,UNKNOWN,아니 M4들까?
00:06:50,410.72,00:06:51,411.92,UNKNOWN,ㅅ발래
00:06:51,411.92,00:06:53,413.22,UNKNOWN,5탄 렛츠고
00:06:53,413.22,00:07:05,425.12,UNKNOWN,형 룩 헬웹 99 돌파했어?
00:07:05,425.12,00:07:06,426.94,UNKNOWN,먹으라 치지 말라고
00:07:06,426.94,00:07:08,428.92,UNKNOWN,이래야 형 도파민 나와서
00:07:08,428.92,00:07:42,462.33,UNKNOWN,헤드 더 잘한다고
00:07:42,462.33,00:08:21,501.39,UNKNOWN,2층이다
00:08:21,501.39,00:08:23,503.03,UNKNOWN,견착으로 쏠걸
00:08:23,503.03,00:08:44,524.2,UNKNOWN,가짜 게임
00:08:44,524.2,00:08:47,527.84,UNKNOWN,가짜 게임이긴 했어
00:08:47,527.84,00:08:51,531.54,UNKNOWN,그래도 1킬은 했죠
00:08:51,531.54,00:08:52,532.56,UNKNOWN,궁금해서 물어보는 건데
00:08:52,532.56,00:08:53,533.74,UNKNOWN,뭐가 OK라는 건데요
00:08:53,533.74,00:08:54,534.76,UNKNOWN,진짜 궁금해요
00:08:54,534.76,00:08:56,536.96,UNKNOWN,아 방금의 패배로 인해서
00:08:56,536.96,00:09:12,552.07,UNKNOWN,한 층 성장했다라는 의미의 OK랍니다
00:09:12,552.07,00:09:13,553.33,UNKNOWN,버츄버 통발 중계인
00:09:13,553.33,00:09:14,554.37,UNKNOWN,푸데가 허츄
00:09:14,554.37,00:09:15,555.33,UNKNOWN,스텔 김블루
00:09:15,555.33,00:09:16,556.37,UNKNOWN,리츄 이오몽
00:09:16,556.37,00:09:21,561.42,UNKNOWN,보츄 감귤이
00:09:21,561.42,00:09:23,563.62,UNKNOWN,아니 선광을 던졌으면 빨리 들어가야지
00:09:23,563.62,00:09:30,570.23,UNKNOWN,선광 효과 풀릴 때까지 기다려주는 스윗 담보인
00:09:30,570.23,00:09:32,572.75,UNKNOWN,OK 이해함 되겠음
00:09:32,572.75,00:09:42,582.71,UNKNOWN,고마워요
00:09:42,582.71,00:09:43,583.79,UNKNOWN,벽에 붙어서
00:09:43,583.79,00:09:45,585.29,UNKNOWN,현 자 기울이기 하면
00:09:45,585.29,00:09:47,587.39,UNKNOWN,그 부분 각이 더 크게 보이니까
00:09:47,587.39,00:09:49,589.21,UNKNOWN,자주 써보세요
00:09:49,589.21,00:09:52,592.58,UNKNOWN,알겠습니다
00:09:52,592.58,00:09:54,594.02,UNKNOWN,레바는 어이없게 뒤지면
00:09:54,594.02,00:09:56,596.52,UNKNOWN,OK OK 이응지울이을 하는데
00:09:56,596.52,00:09:58,598.32,UNKNOWN,썩 잘한 판은 계속 징징거리고
00:09:58,598.32,00:09:58,598.48,UNKNOWN,아
00:09:58,598.48,00:09:59,599.78,UNKNOWN,와타시가 와룩받다 하는
00:09:59,599.78,00:10:01,601.24,UNKNOWN,청개들이 자식이라는 거이
00:10:01,601.24,00:10:04,604.74,UNKNOWN,하하하하하
