시작 시간,종료 시간,내용
00:00:06.62,00:00:27.62,시청해주셔서 감사합니다.
00:01:52.23,00:02:17.56,자 들리나요 여러분 반갑습니다 정말 정말 오랜만이죠 여러분 구독 고마워요 저희 집에서 이렇게 세 명 모여서 방송하는 건 처음이죠?
00:02:17.58,00:02:18.12,저는 이 집이 처음이에요 아무튼 그렇습니다 여러분
00:02:18.86,00:02:34.78,햄버거 고맙다고요?
00:02:34.80,00:02:34.98,맛있게 드셨나요?
00:02:35.00,00:02:35.32,오늘 햄버거 먹었는데 우리도.
00:02:35.34,00:02:35.62,와 츠사기 꼴쟁 조합이네.
00:02:35.64,00:02:35.72,맞아요.
00:02:35.74,00:02:36.06,사람들한테 싸이버거를 그렸어.
00:02:36.08,00:02:36.18,사줬잖아.
00:02:36.20,00:02:36.46,얼마나 더 처먹어야 돼.
00:02:36.74,00:02:50.48,아무튼 그렇습니다 감귤 되게 오랜만이다 라고 하는데요 네 안녕하세요 연애하느라 좀 바빴습니다 하다가 알아갖고 또 인지하고 있었어요 이번주 볼게요 22개월 구독 고맙습니다
00:02:57.26,00:03:20.11,그래서 만화가 박진인 감귤님은 계시는데 다른 만화가 한 분은 언제 오시나요?
00:03:20.13,00:03:20.35,아 있었는데 갔어요.
00:03:20.37,00:03:20.63,실제 진짜 있긴 했어요.
00:03:20.65,00:03:20.86,감귤 왜 어려졌냐?
00:03:20.87,00:03:21.08,해춘의 비약 먹음?
00:03:21.09,00:03:21.34,그냥 수염만 밀었어요.
00:03:21.36,00:03:21.84,그러게 수염 민 게 확실히 약간 애기 같죠.
00:03:21.86,00:03:22.16,좀 중국 애기 같지 않아요?
00:03:22.18,00:03:22.38,아무튼 그렇습니다.
00:03:24.21,00:03:48.19,아무튼 평일에 방송을 한 번 켜기로 해서 얘들 온 김에 한 번 방송을 켜봤습니다.
00:03:48.21,00:03:48.55,이렇게 뭔가를 할 건 아니고요.
00:03:48.57,00:03:50.77,바카 바카 바카 얼마나 기다렸는데 공지도 없고 변태 최저 그리고 변태 유유 마딱도 얼마나 보고 싶었다고 바카 바카 바카 고마워요.
00:03:50.79,00:03:50.89,고마워요.
00:03:50.91,00:03:51.78,레바야 다음부터는 맘스터치 없는 창원 그지들을 위해 롯데리아도 끼워넣어 달래?
00:03:51.80,00:03:51.96,맘스터치 샀어?
00:03:51.98,00:03:52.20,창원에 맘터가 없어?
00:03:52.22,00:03:52.62,맘터가 롯데리아 다음으로 많지 않나?
00:03:52.60,00:03:59.39,아니지.
00:04:02.23,00:04:02.37,있을 법한데?
00:04:02.39,00:04:02.75,맥도날드 매장 많이 줄었어.
00:04:02.77,00:04:03.09,형 주식 익절한 거 축하한다.
00:04:03.11,00:04:08.36,부기도 뿌리고 압구 이쁜 거 감사합니다.
00:04:09.79,00:04:19.29,덕분에 고기 얻어 먹었습니다.
00:04:19.31,00:04:19.67,햄버거 100개도 안 뿌리냐고요?
00:04:19.69,00:04:20.15,20개 뿌렸더니 이제 더 내놓으라고 하네.
00:04:20.17,00:04:32.61,여기 온 것도 사실 뜬금없이 레바가 탈출이다 써서.. 너가 깡촌인 거야.
00:04:32.63,00:04:33.45,창원 사람으로서 분노한다.
00:04:33.47,00:04:38.01,탈출이다 써놓고 그러면 고기 사주마니까 사줄게 사줄게 이러길래 진짠가?
00:04:38.03,00:04:38.98,개의가 없어서 우리가 안 만졌단 거지.
00:04:39.00,00:04:39.18,급식소 열렸어요.
00:04:39.16,00:04:47.33,아니 근데 마이너스 때 왔으면 얘 또 울상에 존나 우울한 얘기만 했을 거 아니야.
00:04:47.35,00:04:48.99,아니 그 정도까지로 우울하진 않았어?
00:04:50.99,00:04:51.07,그래요?
00:04:58.12,00:04:59.26,님들이 봤을 땐 어땠어요?
00:04:59.28,00:04:59.56,님들은 봤을 거 아니에요.
00:04:59.58,00:05:00.18,난 못 봤어.
00:05:00.20,00:05:01.58,난 북어보단 후보콘으로 꾸렸어야지 너 계속 후후한들 뽑주려고 그런 거야.
00:05:02.06,00:05:22.45,"기분 안 좋은, 울면서 키보드 부숨."
00:05:22.47,00:05:22.99,어쩐지 손이 다쳤더라고요 얘가.
00:05:23.01,00:05:23.17,"구독, 좋아요."
00:05:23.19,00:05:23.51,너클에 딱지 있는 거 알아요?
00:05:23.53,00:05:26.93,진짜 뭐 때린 모양이던데.
00:05:26.95,00:05:27.19,캠으로 잘 안 보이네?
00:05:27.21,00:05:27.41,안 때렸어.
00:05:27.43,00:05:28.00,그 정도까진 아니야.
00:05:29.93,00:05:43.39,감귤림 살이 많이 빠져 보이는데 빠지신 거 맞나요?
00:05:43.41,00:05:44.31,근데 좀 이게 알아서.. 알아누워가지고 빠진 거라서 좀 좋은.. 그거는 아니에요.
00:05:44.33,00:05:45.25,갑자기 10kg가 빠져가지고 지금 돌리는 중이에요.
00:05:45.49,00:05:45.63,왜 돌려?
00:05:45.65,00:05:45.83,다시 찍는 거야?
00:05:45.89,00:05:48.13,아니 정속으로 빼야지 이제.
00:05:48.15,00:05:55.90,이거는 치트 쓴 거니까.
00:05:55.92,00:05:56.81,근육이 빠진 거니까 약간.. 치트 쓴 거니까 조금 되돌려놓고 다시 빼야지 이제.
00:05:56.82,00:05:57.31,천 원 고맙습니다.
00:05:57.33,00:05:57.53,구독 까마귀 해줘.
00:05:59.95,00:06:18.11,우리 박진님은 어떻게 지내셨나요?
00:06:18.13,00:06:18.19,저요?
00:06:18.21,00:06:18.81,"저 지금 곧... 이제 곧 1주년이네요, 생각 보니까."
00:06:18.83,00:06:18.97,연지한 지가?
00:06:18.99,00:06:19.73,"아니요, 결혼기념일."
00:06:19.75,00:06:19.97,언제 결혼했지?
00:06:20.47,00:06:20.81,5월 24일.
00:06:20.83,00:06:21.13,"아 맞아, 5월의 신부였지."
00:06:21.28,00:06:38.47,너 로켓 앱 마이너스 17.67%를 기록했을 때 주식 2약이 있어야 나 1일 정지 먹었어.
00:06:38.49,00:06:38.87,그래서 닉도 개새끼로 바꾸신 거야.
00:06:38.89,00:06:39.17,닉도 개새끼로 바꾸셨군요.
00:06:39.19,00:06:39.33,닉카페 했네.
00:06:39.35,00:06:41.57,내가 원래 천박하긴 하지만 그래도 방송 때는 나름 참던데 주식 나락 갈 때는 제1발 말지 양봉후로 올라가라고 울부짖는 거 보고 좀 슬펐음유.
00:06:41.60,00:06:41.75,그러진 않았어.
00:06:44.33,00:06:59.58,형 그래도 좋은 일만 생겨서 존내 베풀 줄 아는 어른이라 멋진 거 같아.
00:06:59.60,00:07:00.00,물론 늦게 일어나서 햄버거 못 먹음.
00:07:00.02,00:07:00.44,크크크 다음에 햄버거 공지해줘라 농담.
00:07:00.46,00:07:00.62,몇 개 뿌렸어?
00:07:00.64,00:07:00.72,20개.
00:07:00.74,00:07:00.92,사이버거 20개.
00:07:00.94,00:07:01.24,형 덕분에 북어 잘 먹었어.
00:07:01.26,00:07:01.34,고마워.
00:07:01.36,00:07:01.66,나도 로켓랩으로 돈 벌어서.
00:07:01.68,00:07:02.04,수익률 60%야 나 있다 이왕.
00:07:05.24,00:07:06.10,롱도 탈 거라고?
00:07:06.16,00:07:16.59,아니 롱 타지 마.
00:07:16.61,00:07:16.67,물려.
00:07:16.69,00:07:16.93,박지희 너도 결혼했니?
00:07:16.95,00:07:17.15,뭐야 나만 몰랐어?
00:07:17.17,00:07:17.43,뭐다 봐도 유부녀잖아요.
00:07:17.45,00:07:17.57,유부남이요.
00:07:17.59,00:07:17.91,하여튼 정수향 많이 비었다고?
00:07:18.29,00:07:21.00,여기 위에 조명이 있어서 그래요.
00:07:21.01,00:07:21.18,그럴 수 있지.
00:07:22.15,00:07:31.44,얘 또 머리카락이 엄청 많이 길어가지고 머리가 엉덩이로 내려오더라고 평일 동안 배그도 안 하던데 뭐 하시면서 있었나요?
00:07:31.46,00:07:31.66,평일 동안?
00:07:31.76,00:07:44.29,얘 오늘 배그 키려고 5시간 동안 배그 깔짝깔짝하더니 계속 점검 중이라 계속 점검 중이더라고 배그가 그래서 얘가 배그를 점검하길래 싸이 퍼즐 켰거든요?
00:07:44.31,00:07:51.82,근데 싸이 퍼즐을 켰는데 매칭이 10초 만에 잡히는 거야 다들 배그 기다리는 인간들이 채팅으로 다들 배그 얘기를 하고 있는 거야 배그 기다리는
00:07:57.01,00:08:02.96,6시 반까지라 하네?
00:08:02.98,00:08:07.39,오늘 뭔가 업데이트가 있었나보네.
00:08:07.41,00:08:07.83,그렇구만.
00:08:08.31,00:08:08.85,배그 안 키냐고?
00:08:09.79,00:08:16.96,다음에 스쿼드.. 다음에 스쿼드로 한번 각자 집에 있을 때 스쿼드 파티를 한번 해보는 걸로 하죠.
00:08:16.98,00:08:17.20,그때 저희도 끼나요?
00:08:17.22,00:08:17.90,아 페이데이!
00:08:17.92,00:08:22.13,그래서 그 킬 때 막 금고 터는 거 나왔구나?
00:08:23.29,00:08:25.45,옷 벗어주세요.
00:08:26.23,00:08:35.95,아 단투님 단투님도 오실래요?
00:08:35.97,00:08:36.13,옷 벗어주세요.
00:08:36.15,00:08:36.31,저는 안 돼요.
00:08:36.33,00:08:37.29,누가 사진 올려놓고 이쁘대서 클릭하니까 박쥐 사진이었는데 댓글에 남자라니까 안 믿더라.
00:08:37.53,00:08:37.86,얘 전성기 때 찍어서 보냈어?
00:08:38.49,00:09:04.18,근데 너희들이 배그 언제 하나 기웃기웃거리길래 이동 녹취하려고 스타용 계정 살렸다나?
00:09:04.20,00:09:04.30,평소인데?
00:09:04.32,00:09:04.42,평소인데?
00:09:04.44,00:09:04.74,아 평소에도 이렇게 예뻤어?
00:09:04.76,00:09:04.88,네 눈에는?
00:09:04.90,00:09:05.68,아니 저는 아니 너 눈에 계속 예쁘다고 생각하는 글이 있는 거 아니야?
00:09:05.70,00:09:06.64,아니야 내가 내가 전에 봤을 때 계속 별로 애도 늙었다 했는데 밥 먹고 씻고 간다고?
00:09:06.66,00:09:07.10,더 일찍 오지 햄버거 돌렸는데 한 번 더
00:09:09.97,00:09:25.39,방금 전에 막 햄버거 먹고 먹으면서 방송이 날까?
00:09:25.41,00:09:25.71,해가지고 방송 켠 거거든요.
00:09:25.73,00:09:26.03,다들 정신이 나가 있더라고.
00:09:26.05,00:09:29.90,뭐라도 하려고 켰습니다.
00:09:29.92,00:09:30.40,이유는 없어.
00:09:34.69,00:09:35.11,다시 켜놓고 뭐 해야 될지도 모르겠어.
00:09:35.13,00:09:35.51,"뭔가, 애초에 뭔가 한 적이 있어?"
00:09:35.53,00:09:35.75,뭐 한 거 없긴 해.
00:09:35.77,00:09:36.53,형 200만 대그 유튜버가 형 악성 우결밀던데 형 인생 핀 거 같아.
00:09:36.55,00:09:36.75,인생 핀 거 맞음?
00:09:37.89,00:10:01.53,아우 한 발 늦었네 근데 이미 밥 안 쳤음 아 건강하다 근데 여기선 밥 안 해먹나요?
00:10:01.55,00:10:01.73,난 햇반 먹는데?
00:10:01.75,00:10:03.35,밥솥이라는 게 없는 것 같아 어 나 밥솥 있었는데 엄마 드렸어 여자다 여자 괜찮다 아 고맙습니다 맞아 최근엔 클럽을 놀러 가셨다면서요 어땠어요?
00:10:03.37,00:10:03.79,네 재밌었어요 클럽에서 보통 뭐하나요?
00:10:03.81,00:10:04.05,무슨 일을 당하셨나요?
00:10:05.11,00:10:21.46,정상수 님 클럽 갔거든요.
00:10:21.48,00:10:22.10,아무튼 오픈했다고 해서 얘는 클럽에 놀러 갔다고 하네요.
00:10:22.12,00:10:22.28,초대받은 거야?
00:10:22.30,00:10:22.38,아니요.
00:10:22.40,00:10:22.62,그냥 놀러 간 거야?
00:10:22.64,00:10:24.26,와이프는 너랑도 같이 갈까 했는데 와이프가 너무 바빠서 그래서 혼자 갔다?
00:10:24.28,00:10:26.70,와이프가 있는데 보내줘?
00:10:26.72,00:10:32.15,나이트 클럽을?
00:10:32.17,00:10:32.67,나이트 클럽이 아니라 그냥 힙합 클럽이었어요.
00:10:32.69,00:10:32.99,클럽은 어쨌든 클럽 아니야?
00:10:33.01,00:10:33.21,뭐가 다른 거예요?
00:10:33.66,00:10:36.35,제가 잘 몰라요.
00:10:36.37,00:10:43.38,저는 그런 영역에 한 번도 발가락도 들인 적이 없기 때문에 마이크 소리 좀 더 키워드렸습니다.
00:10:43.40,00:11:00.88,어차피 가면 남자들이 번호 따니까 괜찮지 않을까?
00:11:00.90,00:11:00.98,진짜요?
00:11:01.00,00:11:01.36,남자들이 님 보고 뭐 안 했어요?
00:11:01.38,00:11:01.62,그런 거 없었다니까요.
00:11:01.64,00:11:01.98,다들 정상적 팬밖에 안 했어요.
00:11:02.00,00:11:02.32,오타쿠 클럽 같은 느낌이냐고?
00:11:02.34,00:11:02.70,약간 그런 느낌이었던 것 같아요.
00:11:02.72,00:11:02.78,그래?
00:11:02.80,00:11:03.10,그런 느낌의 클럽도 있구나.
00:11:03.12,00:11:03.46,그럼 그건 그냥 팬클럽 아니야?
00:11:03.48,00:11:03.62,클럽이 아니고
00:11:06.32,00:11:14.06,아 근데 배 너무 고픈데?
00:11:22.78,00:11:23.20,박진호나 레알 번호 따인 적 있을 듯?
00:11:23.22,00:11:23.42,그건 있지 않나요?
00:11:23.44,00:11:23.56,안 줬어요.
00:11:23.58,00:11:23.72,시도는 했다.
00:11:23.74,00:11:23.84,그랬대요.
00:11:23.86,00:11:23.96,굉장하죠?
00:11:23.98,00:11:24.26,이따가 종석이 오는 건가?
00:11:24.28,00:11:24.40,오겠다는데?
00:11:24.42,00:11:24.58,밥 먹고 온대.
00:11:26.04,00:11:32.95,외국인한테.. 아 옛날에 그거 너가 말했어?
00:11:32.97,00:11:44.47,아 외국인한테 플러팅 당한 거?
00:11:44.49,00:11:45.31,오픈카 탄 외국인이 너한테 옆에서 헤이 헤이 이러면서 아 그럼 무시했어요.
00:11:45.33,00:11:49.24,주파 던진 외국인이 있었잖아.
00:11:49.26,00:11:49.74,뭐 있었는데 운전하다가 그런 경우도 있었죠.
00:11:49.76,00:11:50.02,칵테일 바 갈 거냐고요?
00:11:50.04,00:11:50.28,아 거기 히피 히피요?
00:11:50.30,00:11:50.44,어 말해!
00:11:50.46,00:11:55.71,아니 아니 아니 아니 아니 아무튼 저번에 저번에 갔던데요.
00:11:55.73,00:11:55.76,아아
00:11:57.13,00:12:15.28,아무튼 오늘은 안 갈 것 같습니다 이미 다 알긴 한다고 부천에 나 태워줘야지 술 마시면 안 되지 내가 왜?
00:12:15.30,00:12:20.13,할 거 없잖아 할 것 따라서 부천까지 널 픽업할 생각은 없는데 나도 이사 갔는데 우리 집 한번 좀 와주라
00:12:20.75,00:12:22.94,P.P.A.P라고?
00:12:22.96,00:12:23.22,네 안녕하세요.
00:12:23.24,00:12:25.50,P.P.A.P?
00:12:25.52,00:12:25.68,P.P.A.P.
00:12:25.70,00:12:29.26,개 오랜만이다.
00:12:29.28,00:12:33.63,P.P.A.P?
00:12:33.65,00:12:33.99,이따가 집에서 배그나 해주라고?
00:12:34.01,00:12:34.35,각자 집에서 배그하라는 소리야?
00:12:34.37,00:12:34.45,안 돼.
00:12:34.47,00:12:34.69,저 원고 해야 돼요.
00:12:34.71,00:12:34.79,저도요.
00:12:34.81,00:12:35.35,맞아.
00:12:35.37,00:12:41.22,다들 이제 만화가들이 모여서 게임할 수 있는 그 타임이 정말 없다니까요.
00:12:41.24,00:12:44.76,이 새끼 티배깅이에요.
00:12:45.14,00:12:48.69,걱정하지 마.
00:12:48.71,00:12:49.11,어차피 사인판에 가게 이름 써있더라.
00:12:49.13,00:12:49.77,하면서 뭐 해야 될지 모르겠어 이러면서 나도 그러고 싶다.
00:12:49.79,00:12:49.85,나도.
00:12:49.87,00:12:49.95,음...
00:12:50.81,00:12:55.40,레바 빼고 다 바빠?
00:12:55.42,00:12:55.89,그런 거 같아?
00:12:55.91,00:12:57.93,그대 나도 이런 적은 있어야지 안 그래?
00:12:59.09,00:13:02.00,이럴 때 아니면 또 언제 이러겠어요.
00:13:02.02,00:13:08.87,얘가 주식을 다 잃어야 만화를 그리지 않을까요?
00:13:08.89,00:13:11.20,안 그래도 최근에 만화 주식으로 만나보고 있을 때 그래서 저거 원고가 있었구나.
00:13:11.22,00:13:12.76,마이너스 때 그린 거군요.
00:13:12.78,00:13:13.20,아니야.
00:13:13.46,00:13:14.78,저건 원래 할 생각이었어.
00:13:17.27,00:13:20.85,플러스로 흑자 전환하시자마자 손을 떼셨던데 어떻게 생각하세요?
00:13:20.87,00:13:21.15,그거 쉴 때 된 거지 뭐.
00:13:23.23,00:13:49.36,일할 때 됐다 하시더니 로켓랩 팔고 뭐 샀냐고?
00:13:49.38,00:13:50.24,안 샀어요 달러로 냅두고 있어요 근데 목욕방송 몇 초 했다고 아직도 안 됐냐?
00:13:50.26,00:13:50.48,10분 하지 않았나?
