시작 시간,종료 시간,내용
00:01:54.12,00:02:22.49,아 아 아 헬로우 에브리원 오늘은 점심이기도 하니까 게임을 좀 하다가 이따가 저녁에 어 어제 했던 치즈 스케치를 한번 해볼까 합니다 흐음 흐음
00:02:28.56,00:02:30.74,이번엔 좀 잘 쏜 것 같은데?
00:02:30.76,00:02:48.93,아닌가?
00:02:48.95,00:02:49.37,음... 평소랑 같을 때 틈이 이러네?
00:02:49.39,00:02:49.55,어... 그래?
00:02:49.57,00:02:49.77,어!
00:02:49.79,00:02:51.11,이번엔 좀 잘 쏜 듯?
00:02:51.13,00:02:53.61,아닌가?
00:02:53.63,00:02:55.42,여기서 쏘면 뭐 달라지냐고?
00:02:55.44,00:02:55.86,야 이 자식아 어?
00:02:55.96,00:02:57.74,연습이라는 건 이런 거야
00:03:04.03,00:03:21.96,흐흐흐흠 앞에 있는 것부터 쏴볼까?
00:03:21.98,00:03:22.76,마이크 소리가 작다고?
00:03:23.80,00:03:32.33,이거 생각보다 크게 돼있을텐데 귀 터지겠다고?
00:03:32.35,00:03:33.63,게임 소리 좀 줄여드릴게요
00:03:47.69,00:04:14.61,오케이 바로 실전 투입 렛츠고 카라킨 렛츠고 NPC는 그렇게 움직이던데?
00:04:17.96,00:04:42.80,예 치즈 스케치 되게 괜찮은 것 같아요 체력 소모도 생각보다 덜 하고 사이클도 빠르고 뭐라는 거야 그래도 주말이어서 퓨가 되게 빨리 잡힌다?
00:04:45.28,00:05:09.43,뭐라는 거야 그걸 연결시키는 당신 대가리가 잘못된 거 아닐까요?
00:05:20.21,00:05:22.23,하차 표독하다고?
00:05:22.25,00:05:25.08,그럼 저 말 듣고 내가 뭐라고 해 하하 맞아요 이래야 돼?
00:05:25.68,00:05:49.54,개자식아 그림 투표보단 사이클 빨라서 더 나을텐데 일단 그림 투표 방송은 생각보다 무엇이냐
00:05:51.19,00:06:12.71,체력 소모가 막 심해서 치즈 스케치를 하면 더 오래 할 수 있어 여기로 오나?
00:06:12.73,00:06:13.89,한 놈 오네 이쪽으로 내가 먼저야
00:06:36.06,00:07:02.12,어 챙겨 챙겨 안돼 죽음의 삼가방이다 그런가?
00:07:10.85,00:07:18.84,집을 나와서 털 때가 됐는데?
00:07:18.86,00:07:37.62,일단 자기장 가까워요.
00:07:37.64,00:07:38.30,"아, 아 C... 조끼 챙기고 혹시 모르니까 제동기도 챙기고"
00:07:54.62,00:08:08.25,먹을 게 너무 없는데?
00:08:08.27,00:08:14.82,아 근데 배그 자체가 진짜 너무 어려운 것 같긴 해 게임 자체가 그래서 오히려 하는 맛이 있는 느낌인 것 같기도 하고
00:08:26.56,00:08:49.21,날 보고 있으려나?
00:08:49.23,00:08:49.57,이 집에 있을텐데.. 존버하나?
00:08:59.45,00:09:17.95,저기 넘어간다 대가리 맞았어
00:09:39.33,00:09:54.29,죽었나?
00:09:54.31,00:09:55.45,죽었어!
00:10:05.61,00:10:05.77,회피!
00:10:06.49,00:10:06.67,나도 가야되는데?
00:10:13.62,00:10:30.43,언덕에서 샀을까요?
00:10:30.45,00:10:30.87,호 호 호 호 띠 띠 띠 띠 띠 띠 띠
00:11:45.11,00:12:12.19,그래도 아니다 1킬 못했구나 그래도 딜량은 100 넘었어요
00:12:16.69,00:12:18.91,그럼 뭐 2대1 교전은 강해?
