시작 시간,start_sec,종료 시간,end_sec,화자,내용,live_id
00:02:54,174.03,00:02:55,175.19,UNKNOWN,던파라방 같이 보기입니다,18993627
00:02:55,175.19,00:02:58,178.47,UNKNOWN,무슨 결과가 기다리고 있을지 모르겠지만,
00:02:58,178.47,00:03:25,205.6,UNKNOWN,저도 어떻게 될지 영 모르겠는데요,
00:03:25,205.6,00:04:01,241.33,UNKNOWN,온라인도 끝나맞네요,
00:04:01,241.33,00:04:03,243.83,UNKNOWN,오늘 던파 라이브,
00:04:03,243.83,00:04:09,249.22,UNKNOWN,디렉터님께서 라이브를 하십니다,
00:04:09,249.22,00:04:15,255.67,UNKNOWN,오늘 밖에 비가 많이 오네요,
00:04:15,255.67,00:04:17,257.77,UNKNOWN,불안하게,
00:04:17,257.77,00:04:20,260.73,UNKNOWN,내 폰 어디갔지?,
00:04:22,262.48,00:04:23,263.22,UNKNOWN,하이 미스비,
00:04:23,263.22,00:04:53,293.44,UNKNOWN,리허설 다녀온거냐고요?,
00:04:53,293.44,00:04:54,294.94,UNKNOWN,아니요 이제 가야돼요,
00:04:54,294.94,00:04:56,296.74,UNKNOWN,라이브 보고 바로 방송합니다,
00:04:56,296.74,00:05:14,314.73,UNKNOWN,어떤 이야기 해줄거 같냐고?,
00:05:15,315.89,00:05:18,318.95,UNKNOWN,이제 곧 퍼서브에 올라올 업데이트에 대해서 얘기하겠죠?,
00:05:19,319.97,00:05:22,322.95,UNKNOWN,그리고 현 상황에 대해서나 문제점에 대해서나 등등,
00:05:22,322.95,00:05:33,333.22,UNKNOWN,뭐 알고 있는거 있냐고요?,
00:05:36,336.27,00:05:36,336.89,UNKNOWN,글쎄요,
00:05:36,336.89,00:05:38,338.89,UNKNOWN,전 아무것도 모릅니다,
00:05:38,338.89,00:05:53,353.42,UNKNOWN,아는게 뭐냐고? 모른다니까?,
00:06:10,370.14,00:06:11,371.34,UNKNOWN,엠버서더 왜 하냐고?,
00:06:11,371.46,00:06:12,372.84,UNKNOWN,아니 그게 엠버서더니까,
00:06:12,372.84,00:06:15,375.14,UNKNOWN,지킬건 지켜야지 않겠습니까?,
00:06:15,375.42,00:06:29,389.54,UNKNOWN,웃고 있는거 보니까 개쩌는거 온다는 메시지 받은듯?,
00:06:30,390.42,00:06:30,390.74,UNKNOWN,그거야?,
00:06:30,390.76,00:06:31,391.74,UNKNOWN,과연 그럴까?,
00:06:46,406.37,00:06:48,408.53,UNKNOWN,원래 라이브 방송때는 도네를 꺼놓습니다,
00:06:48,408.53,00:06:50,410.29,UNKNOWN,말이 엉키잖아요,
00:06:50,410.29,00:06:53,413.74,UNKNOWN,자 8분 남았습니다,
00:06:53,413.74,00:06:54,414.32,UNKNOWN,뭐 뭐,
00:06:54,414.32,00:07:01,421.01,UNKNOWN,뭐 드롭스가 있어 원래?,
00:07:01,421.71,00:07:02,422.01,UNKNOWN,아,
00:07:02,422.01,00:07:04,424.67,UNKNOWN,앤커넥트 런칭 기념,
00:07:04,424.67,00:07:07,427.21,UNKNOWN,드롭스 켜드릴게요,
00:07:07,427.21,00:07:33,453.13,UNKNOWN,이번 라방 지렸다,
00:07:33,453.13,00:07:34,454.29,UNKNOWN,그냥 대극신종민?,
00:07:34,454.51,00:07:35,455.67,UNKNOWN,저사람 이래서 왔나봐,
00:07:35,455.67,00:07:48,468.67,UNKNOWN,아니면 다른 세계선일수도 있죠,
00:07:48,468.67,00:07:52,472.09,UNKNOWN,자 7분 남았습니다,
00:07:52,472.09,00:08:01,481.29,UNKNOWN,누군가는 환영할수도,
00:08:01,481.29,00:08:02,482.63,UNKNOWN,누군가는 정말,
00:08:02,482.63,00:08:04,484.51,UNKNOWN,실망하고 떠날수도 있는,
00:08:04,484.51,00:08:06,486.59,UNKNOWN,그런 시간이라고 생각합니다,
00:08:06,486.59,00:08:11,491.46,UNKNOWN,영상보니까 진짜 적은거나 다름없던데?,
00:08:11,491.56,00:08:12,492.34,UNKNOWN,뭔소리야 씨발,
00:08:12,492.34,00:08:13,493.92,UNKNOWN,직업랭킹 6위야,
00:08:13,493.92,00:08:15,495.06,UNKNOWN,존마나 새끼야,
00:08:15,495.06,00:08:23,503.91,UNKNOWN,뭐 얼마나 더 해야되는데,
00:08:23,503.91,00:08:38,518.47,UNKNOWN,황금서약 해야지?,
00:08:38,518.79,00:08:40,520.89,UNKNOWN,아니 야이 자식아 황금서약이 나와야지,
00:08:40,520.89,00:08:42,522.41,UNKNOWN,황금서약을 할거 아니야,
00:08:42,522.41,00:09:10,550.68,UNKNOWN,감사합니다,
00:09:10,550.68,00:09:20,560.76,UNKNOWN,자 단 5분 남았습니다,
00:09:20,560.76,00:09:49,589.36,UNKNOWN,아 존나,
00:09:49,589.36,00:09:51,591.5,UNKNOWN,걱정 반 기대 반,
00:09:51,591.5,00:09:53,593.9,UNKNOWN,아니다 걱정 100% 기대 100%,
00:09:54,594.36,00:10:27,627.7,UNKNOWN,자 4분 남았어요,
00:10:27,627.7,00:10:47,647.3,UNKNOWN,과연 어떻게 될것인가,
00:10:47,647.3,00:11:00,660.83,UNKNOWN,저쪽 채팅에 명성이 뜬다구요?,
00:11:04,664.35,00:11:05,665.23,UNKNOWN,레알이네?,
00:11:10,670.94,00:11:20,680.24,UNKNOWN,하하하하하하,
00:11:20,680.24,00:11:22,682.1,UNKNOWN,나 12만 6043이네요,
00:11:22,682.1,00:11:27,687.23,UNKNOWN,레알 10컷,
00:11:27,687.23,00:11:28,688.45,UNKNOWN,그냥 진짜,
00:11:28,688.45,00:11:31,691.55,UNKNOWN,던파가 망하면 안되는 사람들끼리만 모였잖아,
00:11:31,691.55,00:11:57,717.44,UNKNOWN,3분 남았습니다,
00:11:57,717.44,00:12:15,735.25,UNKNOWN,명성컷,
00:12:15,735.25,00:12:16,736.49,UNKNOWN,13만 되려면,
00:12:16,736.49,00:12:19,739.13,UNKNOWN,그냥 풀세트로는 안될거 같은데,
00:12:19,739.13,00:12:21,741.65,UNKNOWN,54진정도 되야되나?,
00:12:28,748.7,00:12:29,749.2,UNKNOWN,8시 1분,
00:12:29,749.22,00:12:38,758.49,UNKNOWN,720키라고?,
00:12:38,758.49,00:12:47,767.17,UNKNOWN,됐습니다,
00:12:47,767.17,00:12:48,768.35,UNKNOWN,2분 남았다,
00:12:48,768.35,00:13:03,783.95,UNKNOWN,야호,
00:13:03,783.95,00:13:07,787.87,UNKNOWN,"내가 올 12,13중 줄줄에다가",
00:13:07,787.87,00:13:20,800.23,UNKNOWN,밀장비도 다 했는데도 12만 6000인데,
00:13:20,800.23,00:13:48,828.4,UNKNOWN,마부작도 다 종결이에요,
00:13:48,828.4,00:13:49,829.54,UNKNOWN,1분,
00:13:49,829.54,00:13:51,831.72,UNKNOWN,1분,
00:13:51,831.72,00:14:14,854.12,UNKNOWN,종말까지 1분,
00:14:14,854.12,00:14:50,890.31,UNKNOWN,30초,
00:14:50,890.31,00:14:52,892.63,UNKNOWN,기타,
00:14:52,892.63,00:14:55,895.39,UNKNOWN,안녕하세요 보험관님,
