시작 시간,start_sec,종료 시간,end_sec,화자,내용,live_id
00:00:00,0.34,00:01:15,75.88,UNKNOWN,"기다리다 죽는 줄 알았다, 이 새끼",19176606
00:01:15,75.88,00:02:11,131.4,UNKNOWN,28개월 구독 중,
00:02:11,131.4,00:05:08,308.84,UNKNOWN,"나와라, 건방진 놈",
00:05:08,308.84,00:05:17,317.74,UNKNOWN,"아, 반갑습니다, 여러분",
00:05:17,317.74,00:05:21,321.53,UNKNOWN,회사 신부리,
00:05:21,321.53,00:05:26,326.93,UNKNOWN,"되나, 되나, 되나, 되나, 되나, 오랜만이구나, 그렇지?",
00:05:26,326.93,00:05:27,327.41,UNKNOWN,감사합니다,
00:05:27,327.41,00:05:32,332.15,UNKNOWN,아직 햇빛이 있어서 좀 약간은 화사해 보일 수도 있겠네요,
00:05:32,332.15,00:05:36,336.23,UNKNOWN,"아무튼, 오늘은 옆에 멀리서 고향 친구가 올라왔는데",
00:05:36,336.23,00:05:39,339.17,UNKNOWN,약간 게임하는 소리가 들려도 이해해 주시기 바랍니다,
00:05:39,339.17,00:05:43,343.03,UNKNOWN,구독 고마워요,
00:05:43,343.03,00:05:45,345.79,UNKNOWN,28개월 구독량이,
00:05:45,345.79,00:05:53,353.69,UNKNOWN,"뇌바야, 6일이 29개월 같더라, 나 죽을 뻔했어",
00:05:53,353.69,00:05:56,356.65,UNKNOWN,"고마워요, 살 빠졌냐고? 쪘을 텐데, 오히려",
00:05:56,356.65,00:05:59,359.11,UNKNOWN,요새 완전 물 올라가지고,
00:05:59,359.11,00:06:02,362.13,UNKNOWN,"방송 좀 자주 켜주라, 나의 구독비가 울고 있다, 응?",
00:06:02,362.77,00:06:04,364.51,UNKNOWN,저도 최대한 노력했습니다,
00:06:04,364.51,00:06:10,370.23,UNKNOWN,내가 방송 자주 안 켠 건 용서하는데,
00:06:10,370.23,00:06:13,373.65,UNKNOWN,내 집 모임에서 락앤락 안 들고 갔으면 진짜 용서 안 한다,
00:06:13,373.65,00:06:14,374.93,UNKNOWN,안 들고 왔어요,
00:06:14,374.99,00:06:16,376.99,UNKNOWN,"들고 갈 걸 그랬어, 뷔페식인 줄 알았으면",
