시작 시간,start_sec,종료 시간,end_sec,speaker,내용,live_id
00:00:04,4.5,00:00:06,6.66,UNKNOWN,"아, 아, 아, 들리나요?",19265642
00:00:11,11.06,00:00:12,12.46,UNKNOWN,"하나, 둘, 셋, 하나, 둘, 셋",
00:00:12,12.46,00:00:20,20.44,UNKNOWN,"아, 씨, 베이그 튕기면서",
00:00:20,20.44,00:00:24,24.48,UNKNOWN,모비에서도 튕겨버렸어요,
00:00:24,24.48,00:00:36,36.98,UNKNOWN,"도개자라고? 씨, 내가 도개자 받고 싶은데?",
00:00:37,37.7,00:00:40,40.92,UNKNOWN,"왜 이렇게 베이그만 하면 왜 이렇게 잘 튕기는 거야, 이 존맛겜",
00:00:40,40.92,00:00:47,47.22,UNKNOWN,"살아있으려나, 것보다?",
00:01:31,91.74,00:01:32,92.6,UNKNOWN,캠 왜 이래?,
00:01:39,99.87,00:01:42,102.83,UNKNOWN,다시 와줬구나? 근데 형 던파 퇴보 광고 아니야?,
00:01:50,110.56,00:01:54,114.86,UNKNOWN,"새끼, 그러게 사이퍼즈 끄고 던파 끄고 클립 트리오 끄라 했지",
00:01:54,114.86,00:01:56,116.54,UNKNOWN,"네, 그럴 줄 알았다",
00:01:56,116.54,00:01:58,118.56,UNKNOWN,게임은 또 왜 이렇게 안 켜지고,
00:01:58,118.56,00:02:01,121.16,UNKNOWN,던파 침폭 방송이랑 봉사 방송으로 보상하라,
00:02:01,121.16,00:02:03,123.04,UNKNOWN,이것저것 보상해,
00:02:03,123.04,00:02:07,127.95,UNKNOWN,"뭐 하세요, 아저씨",
00:02:10,130.64,00:02:17,137.45,UNKNOWN,"아이참, 어, 어, 어, 켜졌다, 켜졌다",
00:02:17,137.45,00:02:19,139.59,UNKNOWN,"제발, 살아있게 해주세요",
00:02:19,139.59,00:02:21,141.59,UNKNOWN,나 그래도 건물 안에서 튕겼잖아?,
00:02:21,141.59,00:02:24,144.93,UNKNOWN,"아니, 거리 몰래 CPU랑 글카 팔아먹고",
00:02:24,144.93,00:02:25,145.21,UNKNOWN,쌍둥이도,
00:02:25,145.21,00:02:27,147.03,UNKNOWN,안 걸어 끼워놓은 거 아니냐?,
00:02:27,147.03,00:02:28,148.97,UNKNOWN,"이거 조사해봐, 빨리",
00:02:28,148.97,00:02:37,157.8,UNKNOWN,"요새 24번째 반이걸, 손버릇 안 좋더라",
00:02:37,157.8,00:02:51,171.36,UNKNOWN,"어, 이렇게 때려?",
00:02:51,171.36,00:02:53,173.2,UNKNOWN,이 형 머리 긴 거 젊어 보이네,
00:02:53,173.2,00:02:54,174.12,UNKNOWN,형은 머리 자르지 마,
00:02:54,174.12,00:02:58,178.09,UNKNOWN,"어, 씨X",
00:02:58,178.09,00:03:08,188.48,UNKNOWN,이게 어찌 된 일이고,
00:03:08,188.48,00:03:10,190.64,UNKNOWN,나 것보다 3조 끼지 않았어?,
00:03:10,190.64,00:03:17,197.6,UNKNOWN,"이렇게 살았누, 크크크크크크",
00:03:17,197.6,00:03:29,209.82,UNKNOWN,"아야, 넌 영화 같이 보기 안 함?",
00:03:29,209.82,00:03:48,228.54,UNKNOWN,영화 지금 같이 보기 뭐 있는데?,
00:03:48,228.54,00:03:51,231.3,UNKNOWN,저희 마지막 같이 보기가 그거였나?,
00:03:51,231.3,00:03:59,239.1,UNKNOWN,그거 최종병기 활?,
00:03:59,239.1,00:04:00,240.4,UNKNOWN,차가 이쪽으로 가야지 있을까?,
00:04:00,240.4,00:04:02,242.44,UNKNOWN,저쪽으로 가야지 있을까?,
00:04:02,242.44,00:04:03,243.64,UNKNOWN,둘 다 안 보이는데,
00:04:03,243.64,00:04:13,253.02,UNKNOWN,이쪽으로 한번 가볼까?,
00:04:16,256.26,00:04:21,261.88,UNKNOWN,복이다,
00:04:21,261.88,00:04:41,281.94,UNKNOWN,"아, 배그 원래 이렇게 좀 잘 튕기는 게임인가요?",
00:04:43,283.62,00:04:45,285.88,UNKNOWN,그거 완전 태극기 휘날리며 아니야?,
00:04:45,285.88,00:05:10,310.6,UNKNOWN,아직까지 통나무다리 하고 있는 새끼 없겠지?,
00:05:13,313.83,00:05:30,330.79,UNKNOWN,오오오오어어어어어,
00:05:30,330.79,00:05:48,348.12,UNKNOWN,"아, 씨X, 바퀴가 없잖아?",
00:05:48,348.12,00:05:49,349.58,UNKNOWN,"아이, ㅈㄹ났네",
00:06:04,364.52,00:06:06,366.84,UNKNOWN,그래도 분대는 꽤 많이 챙겨서 다행이야,
00:06:38,398.86,00:06:40,400.26,UNKNOWN,"아, ㅈㄴ 머네",
00:06:55,415.51,00:06:57,417.85,UNKNOWN,으아! 오! 오! 오! 오! 오! 우와!,
00:06:58,418.51,00:06:59,419.41,UNKNOWN,렉 뭐야?,
00:07:32,452.33,00:07:33,453.53,UNKNOWN,뭐지? 봇인가?,
00:07:33,453.83,00:07:48,468.49,UNKNOWN,왜 아직까지 여기 밖에 있냐고 다들!,
00:08:00,480.76,00:08:02,482.4,UNKNOWN,"괜찮아, 나 가져갈 거 없어",
00:08:21,501.19,00:08:22,502.79,UNKNOWN,"아이씨, 짜증나네",
00:08:22,502.79,00:08:24,504.99,UNKNOWN,ㅈㄴ 달렸는데 그냥 들어갈 걸 그랬나?,
00:08:45,525.28,00:08:46,526.34,UNKNOWN,검사 자주 꺼주라고?,
00:08:46,526.34,00:08:48,528.24,UNKNOWN,"아이, 그, 그런 문제가 아닌 거 같은데",
00:08:58,538.03,00:08:59,539.73,UNKNOWN,합방 일정 언제냐고요? 몰라요?,
00:09:00,540.23,00:09:02,542.43,UNKNOWN,"블루가 정해준댔어, 내가 맞추기로 했고",
00:09:12,552.98,00:09:13,553.98,UNKNOWN,밀타로 간다,
00:09:14,554.58,00:09:15,555.98,UNKNOWN,아무도 날 막을 수 없어,
00:09:21,561.58,00:09:24,564.38,UNKNOWN,"아니야, 그래픽 카드 제외하고 이거 200으로 맞췄었다고",
00:09:24,564.38,00:09:26,566.08,UNKNOWN,"그쵸, 내 기억에 그런대",
00:09:26,566.28,00:09:28,568.68,UNKNOWN,애초에 방송 켜고 견적 짰잖아,
00:09:49,589.26,00:09:52,592.26,UNKNOWN,"그니까, 게임 방송하는 데는 투컴이 맞긴 한데",
00:09:52,592.26,00:09:53,593.76,UNKNOWN,나는 그림 방송이랑 같이 해서,
00:09:53,593.76,00:09:54,594.86,UNKNOWN,그림 방송을 투컴 세트에,
00:09:54,594.86,00:09:55,595.76,UNKNOWN,세팅을 하는 거,
00:09:56,596.26,00:09:57,597.96,UNKNOWN,보통 번거로운 게 아니거든요?,
00:09:57,597.96,00:10:00,600.56,UNKNOWN,"그, 선 그 긋는 데 로스도 생기고",
00:10:19,619.12,00:10:22,622.32,UNKNOWN,그리고 배그 게임 튕기는 건 컴퓨터 문제가 아닌 거 같은데,
00:10:37,637.54,00:10:38,638.54,UNKNOWN,생각보다 적다?,
00:10:44,644.97,00:10:53,653.47,UNKNOWN,합방할 때 튕기면 팀원이 튕겼지만,
00:10:53,653.47,00:10:56,656.57,UNKNOWN,살려서 치킨을 먹는다는 방송각이 생기는 거니까 개이득임,
00:11:12,672.16,00:11:14,674.26,UNKNOWN,전파하다 시위 겸하고 배그하는데,
00:11:14,674.26,00:11:15,675.66,UNKNOWN,네오플에서 가만히 있겠냐,
00:11:34,694.38,00:11:35,695.58,UNKNOWN,자유장 멀지 않아요?,
00:12:01,721.98,00:12:02,722.68,UNKNOWN,어디서,
00:12:03,723.68,00:12:05,725.38,UNKNOWN,한 번 쏘는 소리가 나는데,
00:12:05,725.38,00:12:05,725.88,UNKNOWN,통과고,
00:12:43,763.41,00:12:44,764.01,UNKNOWN,붙을까?,
00:12:46,766.54,00:12:48,768.04,UNKNOWN,나는 꽤 열심히 싸우고 있는데 애들?,
00:13:24,804.12,00:13:25,805.12,UNKNOWN,"아, 까비",
00:13:27,807.4,00:13:29,809.6,UNKNOWN,"아, 존나 까빈데 이거?",
00:13:45,825.98,00:13:47,827.08,UNKNOWN,D93,
00:13:51,831.15,00:13:52,832.95,UNKNOWN,나 견착키가 따로 빠져있어,
00:13:53,833.55,00:13:55,835.15,UNKNOWN,다시 초기 세팅으로 바꿀까?,
00:14:28,868.36,00:14:29,869.16,UNKNOWN,조준하기,
00:14:29,869.66,00:14:30,870.86,UNKNOWN,견착키를 뭘로 하지?,
00:14:40,880.26,00:14:40,880.76,UNKNOWN,캡슐압?,
00:14:41,881.36,00:14:42,882.16,UNKNOWN,"뭐래, 그럴까?",
00:14:58,898.09,00:14:58,898.99,UNKNOWN,그 정도 올려줘야 되냐고?,
00:14:58,898.99,00:15:00,900.39,UNKNOWN,"아이, 그 정도까지 필요 없어요",
00:15:00,900.59,00:15:01,901.79,UNKNOWN,"괜찮아요, 고맙습니다",
00:15:03,903.94,00:15:05,905.54,UNKNOWN,근데 왜 저분은 닉네임이,
00:15:06,906.14,00:15:07,907.34,UNKNOWN,아무것도 안 보이냐?,
00:15:08,908.44,00:15:09,909.84,UNKNOWN,글자 색깔이 이상한 건가?,
00:15:22,922.6,00:15:24,924.0,UNKNOWN,간다아,
00:15:48,948.77,00:15:49,949.27,UNKNOWN,하나,
00:15:50,950.37,00:15:51,951.07,UNKNOWN,왜? 하나?,
00:16:00,960.38,00:16:01,961.88,UNKNOWN,그럼 나도 저쪽 가서 싸워주겠어,
00:16:10,970.51,00:16:11,971.71,UNKNOWN,반가워해요,
00:16:26,986.23,00:16:27,987.23,UNKNOWN,"아, 총이 안 나와?",
00:16:28,988.43,00:16:29,989.93,UNKNOWN,"조급해진대, 슬슬",
00:17:24,1044.84,00:17:25,1045.84,UNKNOWN,자권인 거 같은데?,
00:18:04,1084.87,00:18:07,1087.67,UNKNOWN,방금은 약간 긴장감을 덮구기 위해서,
00:18:07,1087.67,00:18:08,1088.67,UNKNOWN,그렇게 좀 싸웠답니다,
00:18:23,1103.59,00:18:25,1105.39,UNKNOWN,영 먹고 싶으면 말로 하면 되는데,
00:18:28,1108.99,00:18:31,1111.09,UNKNOWN,"와, 레바님 에임 정말 잘 쓰시네요",
00:18:31,1111.39,00:18:32,1112.59,UNKNOWN,고마워요,
00:18:35,1115.73,00:18:37,1117.53,UNKNOWN,이제 여기는 내가 다 먹으면 되는 건가?,
00:19:01,1141.95,00:19:03,1143.35,UNKNOWN,어그 같은 거 들고 싶은데,
00:19:04,1144.65,00:19:05,1145.85,UNKNOWN,"아, 난 이게 맞나?",
00:19:24,1164.37,00:19:25,1165.17,UNKNOWN,흠,
00:19:26,1166.37,00:19:27,1167.37,UNKNOWN,"잠깐, 구상이 너무 많다",
00:19:28,1168.57,00:19:29,1169.57,UNKNOWN,난 구탄이 맞다고?,
00:19:30,1170.27,00:19:30,1170.87,UNKNOWN,그런 것 같긴 해,
00:19:32,1172.07,00:19:33,1173.57,UNKNOWN,안 그래도 구탄도 제가 방금 보니까,
00:19:33,1173.57,00:19:34,1174.77,UNKNOWN,"씨발, 나도 쏘...",
00:19:35,1175.07,00:19:36,1176.07,UNKNOWN,사실 저도 쏘고 깜짝 놀랐는데,
00:19:36,1176.17,00:19:37,1177.17,UNKNOWN,진짜 놀랐어요,
00:19:37,1177.17,00:19:37,1177.67,UNKNOWN,어? 하고,
00:19:44,1184.76,00:19:46,1186.26,UNKNOWN,내가 이 정도였나? 하고,
00:19:56,1196.17,00:19:56,1196.67,UNKNOWN,잠깐,
00:19:57,1197.67,00:19:58,1198.67,UNKNOWN,"자기 자기야, 위치가?",
00:20:16,1216.98,00:20:18,1218.48,UNKNOWN,SR 하나 있으면 좋겠는데,
00:20:18,1218.48,00:20:19,1219.98,UNKNOWN,SR 카구팔이라도,
00:20:20,1220.98,00:20:21,1221.48,UNKNOWN,박격포,
00:20:27,1227.38,00:20:28,1228.38,UNKNOWN,4배율 왜 들고 있냐고?,
00:20:28,1228.38,00:20:29,1229.38,UNKNOWN,"버렸어요, 그래서",
00:20:42,1242.51,00:20:43,1243.01,UNKNOWN,SR,
00:20:43,1243.51,00:20:44,1244.01,UNKNOWN,SR,
00:20:44,1244.51,00:20:45,1245.51,UNKNOWN,8배율이다,
00:20:45,1245.51,00:20:46,1246.51,UNKNOWN,8배율이 또 있네,
00:20:46,1246.51,00:20:51,1251.93,UNKNOWN,안 좋으면 고급 따라다니면서,
00:20:51,1251.93,00:20:54,1254.93,UNKNOWN,먹는 것도 좋은 방법 중에 하나임,
00:20:56,1256.43,00:20:56,1256.93,UNKNOWN,어?,
00:20:57,1257.73,00:20:58,1258.43,UNKNOWN,"어, 이거 뭐야?",
00:20:58,1258.43,00:20:58,1258.93,UNKNOWN,"어, 뭐야?",
00:20:58,1258.93,00:21:00,1260.43,UNKNOWN,"어, 뭐야, 여기?",
00:21:08,1268.1,00:21:09,1269.1,UNKNOWN,"뭐임, 뭐임?",
00:21:12,1272.32,00:21:13,1273.32,UNKNOWN,테크놀로지야,
00:21:34,1294.28,00:21:35,1295.28,UNKNOWN,자동차?,
