시작 시간,start_sec,종료 시간,end_sec,화자,내용,live_id
00:00:01,1.04,00:03:31,211.55,UNKNOWN,오늘 좀 일찍 일어나서 일찍 방송을 켰습니다,19279006
00:03:31,211.55,00:03:37,217.37,UNKNOWN,예 반갑습니다,
00:03:37,217.37,00:03:38,218.95,UNKNOWN,뽀레리도 반갑다고 하네요,
00:03:38,218.95,00:03:40,220.95,UNKNOWN,요즘 하루종일 배그 한다고?,
00:03:40,220.95,00:03:41,221.67,UNKNOWN,그런가?,
00:03:41,221.67,00:03:43,223.65,UNKNOWN,아이 존나 오랜만에 어제 한 것,
00:03:43,223.65,00:03:48,228.07,UNKNOWN,어제 다시 시작했는데,
00:03:48,228.07,00:03:50,230.37,UNKNOWN,아 구독 고맙습니다,
00:03:50,230.37,00:03:57,237.36,UNKNOWN,그러면 바로 돌려보도록 할까요,
00:03:57,237.36,00:04:00,240.18,UNKNOWN,룩 최대한 은신을 생각해서 맞췄음,
00:04:00,240.18,00:04:05,245.0,UNKNOWN,몇 타치?,
00:04:05,245.0,00:04:12,252.61,UNKNOWN,어두운 곳에선 잘 안 보이겠죠,
00:04:12,252.61,00:04:13,253.87,UNKNOWN,하나 타치라고?,
00:04:13,253.87,00:04:25,265.94,UNKNOWN,그러면 좋다는 뜻이군,
00:04:25,265.94,00:04:27,267.34,UNKNOWN,너 검은 거 싫어하잖아?,
00:04:27,267.34,00:04:30,270.32,UNKNOWN,그러기엔 내가 검은 옷도 존나 잘 입는데,
00:04:30,270.32,00:04:31,271.76,UNKNOWN,오씨야 깜짝이야,
00:04:31,271.76,00:04:33,273.26,UNKNOWN,뭐야 이건,
00:04:33,273.26,00:04:46,286.21,UNKNOWN,양대가리 뭐야,
00:04:46,286.21,00:04:50,290.87,UNKNOWN,이 새끼도 얼굴 존나 무서워,
00:04:50,290.87,00:04:54,294.45,UNKNOWN,이 새끼 왜 몸을 이렇게 구부정하게 했냐,
00:04:54,294.45,00:04:55,295.89,UNKNOWN,기본 자세인가?,
00:04:55,295.89,00:05:09,309.12,UNKNOWN,아이 만원 후원 고맙습니다,
00:05:09,309.12,00:05:11,311.98,UNKNOWN,26개월 구독 고마워요,
00:05:11,311.98,00:05:12,312.16,UNKNOWN,아이,
00:05:12,312.16,00:05:15,315.06,UNKNOWN,20개월이구나,
00:05:15,315.06,00:05:20,320.2,UNKNOWN,구독 고맙습니다,
00:05:20,320.2,00:05:32,332.59,UNKNOWN,호이 호이 호이 호이,
00:05:32,332.59,00:05:34,334.09,UNKNOWN,오늘 티셔츠 안에 옷 입었냐고?,
00:05:34,334.09,00:05:36,336.29,UNKNOWN,아니요?,
00:05:36,336.29,00:05:39,339.43,UNKNOWN,어제 그대로인데?,
00:05:39,339.43,00:05:42,342.05,UNKNOWN,좋았어 시작하자마자 내려주지,
00:05:42,342.05,00:05:58,358.37,UNKNOWN,죽여버리겠어,
00:05:58,358.37,00:06:35,395.25,UNKNOWN,파이어,
00:06:35,395.25,00:06:48,408.75,UNKNOWN,뭐해루 뭐해루,
00:06:48,408.75,00:07:07,427.96,UNKNOWN,죽었냐고,
00:07:07,427.96,00:07:15,435.07,UNKNOWN,하필 총 먹은 게 드라구노프라,
00:07:15,435.07,00:07:24,444.28,UNKNOWN,아 까비,
00:07:24,444.28,00:07:24,444.52,UNKNOWN,아이,
00:07:24,444.52,00:07:28,448.02,UNKNOWN,총알이 5발밖에 안 남았었어,
00:07:28,448.02,00:07:29,449.02,UNKNOWN,맞긴 맞았을까?,
00:07:29,449.02,00:07:43,463.98,UNKNOWN,하나도 안 맞았네?,
00:07:43,463.98,00:07:45,465.88,UNKNOWN,스킨 존나 구려 보인다고?,
00:07:45,465.88,00:07:49,469.18,UNKNOWN,기본 스킨 맞음,
00:07:49,469.18,00:08:01,481.92,UNKNOWN,아 랜덤 배브랄까?,
00:08:01,481.92,00:08:03,483.5,UNKNOWN,아 집이 왜 이렇게 덥냐,
00:08:03,483.5,00:08:06,486.82,UNKNOWN,에어컨을 켰는데도,
00:08:06,486.82,00:08:11,491.08,UNKNOWN,오늘 날씨가 아주 쨍쨍하군요 밖에가,
00:08:11,491.08,00:08:14,494.94,UNKNOWN,이런 날 좀 밖에 나가야 되는데,
00:08:14,494.94,00:08:20,500.18,UNKNOWN,라고 하기엔 갈 데가 없음,
00:08:20,500.18,00:08:21,501.38,UNKNOWN,안녕하세,
00:08:21,501.38,00:08:24,504.58,UNKNOWN,저는 지금 배바의 배틀그라운드 방송을 보면서,
00:08:24,504.58,00:08:26,506.26,UNKNOWN,맨 앞에 마이크를 든 젠스망을 보며,
00:08:26,506.26,00:08:27,507.36,UNKNOWN,마이크를 끄고 있습니다,
00:08:27,507.36,00:08:29,509.36,UNKNOWN,맞아 젠스망 내안했지,
00:08:29,509.36,00:08:31,511.7,UNKNOWN,지금 어딨어요?,
00:08:31,511.7,00:08:38,518.62,UNKNOWN,이번엔 뭐 홍대 가서 밥 먹는다고 들었던 거 같은데,
00:08:38,518.62,00:08:49,529.28,UNKNOWN,와 젠스망이랑 이제 몇 킬로 안에 같은 공간에 있는 거야 나?,
00:08:49,529.28,00:08:51,531.76,UNKNOWN,아 그러면 T1 PC만 가다?,
00:08:51,531.76,00:09:22,562.55,UNKNOWN,오토바이 소리 존나 시끄럽네,
00:09:22,562.55,00:09:36,576.91,UNKNOWN,오케이 짤파밍 렛츠고,
00:09:36,576.91,00:09:49,589.8,UNKNOWN,간다,
00:09:49,589.8,00:09:56,596.34,UNKNOWN,여기 내리는 사람이 있을 거 같은데,
00:09:56,596.34,00:09:57,597.72,UNKNOWN,넥슨 주식 20% 오를 듯?,
00:09:57,597.72,00:09:58,598.2,UNKNOWN,넥슨 주식 20% 오를 듯?,
