# live_id: 18809418
start_ts,start_sec,end_ts,end_sec,speaker,text
00:00:53,53.68,00:00:59,59.86,UNKNOWN,이번 생활 시작
00:00:59,59.86,00:01:40,100.0,UNKNOWN,프로게이머 레바의 그림 방송
00:01:40,100.0,00:03:44,224.44,UNKNOWN,"8시, 9시에 온다더니 10시 잤니 기다리다 목 빠지는 줄 알았다"
00:03:44,224.44,00:03:55,235.6,UNKNOWN,레바님 레바님 분명 1시간 뒤에 방송킨다고 약속해놓고 2시간이나 더 시간이 지나서야 방송을 킨 괘씸한 스트리머가 있대요
00:03:55,235.6,00:03:57,237.46,UNKNOWN,레바님이 한마디 해주세요
00:04:11,251.26,00:04:13,253.36,UNKNOWN,하이 게이 반갑다 게이야 라넨데
00:04:13,253.36,00:04:17,257.2,UNKNOWN,늦어서 죄송합니다 미션은 끊도록 하죠
00:04:17,257.2,00:04:21,261.88,UNKNOWN,진짜 다들 너무하다 자고도 다시 와준건데 천사가 따로 없네 뽀뽀쪼
00:04:21,261.88,00:04:29,269.17,UNKNOWN,레바가 이브 그림 방송 킬거라고 안 믿었던 레코딨들은 가축
00:04:29,269.17,00:04:40,280.68,UNKNOWN,미녀는 장꾸러기라는데 핵은 미남이라 장꾸러기신가요
00:04:40,280.68,00:04:46,286.34,UNKNOWN,형 너무 귀여움
00:04:46,286.86,00:04:48,288.74,UNKNOWN,데에에에에?
00:04:48,288.94,00:04:51,291.34,UNKNOWN,아무튼 오늘 좀 늦었어
00:04:51,291.34,00:04:54,294.48,UNKNOWN,늦었지만 그림 방송을 하도록 하겠습니다
00:04:54,294.48,00:04:54,294.66,UNKNOWN,retrie sophomore
00:04:54,294.7,00:05:05,305.4,UNKNOWN,스스한 모습도 너무 멋쩡.
00:05:05,305.4,00:05:08,308.0,UNKNOWN,손프리로 저번에 그리다가만
00:05:08,308.0,00:05:09,309.26,UNKNOWN,구머링을..
00:05:09,309.26,00:05:11,311.2,UNKNOWN,면도 좀 하고 오시죠.
00:05:11,311.2,00:05:17,317.58,UNKNOWN,작가님 슬슬 이사한지 좀 되었는데
00:05:17,317.58,00:05:20,320.88,UNKNOWN,전 집보다 제일 마음에 드는 게 무엇인가요?
